index,year,month,day,content,likecount,nickname,user_id
1,2014,9,16,好想念孙燕姿和梁静茹...,8938,没音乐会死星人_喵,17871659
2,2015,2,26,音质再好也好不过记忆里的那年那个MP3啊，明明歌词立意跟自己毛关系都没有，还能盯着屋檐有模有样地矫情半天，还想着要是下点雨就更好了。哈哈，现在想想真是闷骚奥，骚年。[爱心],7399,乐柚Leo,6540418
3,2014,12,8,我们年轻的时候，总是把创作的冲动误以为是创作的才华; 总是把对孤独的恐惧误以为是对爱情的向往。,4115,桥城往事,17557737
4,2014,8,25,听起来真是超级舒服,3124,redfa,30708129
5,2018,12,30,互相想念的两个人 见面才有意义,2631,代喝牛奶,286963516
6,2015,4,7,四年了，当年单曲重复起码100次,1826,羊咩咩喂,50148750
7,2015,3,19,整个初中高中都是梁静茹和孙燕姿的声音[爱心],1612,浩帆不说不知道,34826499
8,2015,2,16,深圳的麦当劳最喜欢放的歌[大笑],1395,sshuangge,51279241
9,2015,1,2,燕姿的声音唱小清新的歌，总让人感觉温暖惬意。阳光清风，还有一个带着耳机哼着180度的我。,1218,大坏羹,47160733
10,2015,3,3,太有情调了，，隐藏神曲,1158,vaiwei424,17665449
11,2015,11,1,"你的180度 是你转变的态度
我就让你一步 还是一样于事无补",991,do十年,2180397
12,2015,11,2,我的腿不是我的了,442,totalsky,12876070
13,2019,2,18,我没有怪你的意思 也没有觉得一个人就必须对一个人怎么样 我只是觉得一切都特没劲 连我费劲心思对你好的那些瞬间都很没劲 你就像一个黑洞一样 所有的情绪 所有的爱 所有的付出和体恤砸进去就什么都没了。,418,爱笑的眼睛是我呀,497600412
14,2015,10,31,最喜欢的歌之一 循环几百遍,397,鱼一滴点儿,80627121
15,2018,4,9,无限循环的那个夏天，配合大雨下的屋檐，虽然意境不合，但是总觉得乌克丽丽和雨景很配。再想想那个夏天，那首歌，自己简直矫情又骚气的不像话。[大哭][大哭],386,wliuc,251898226
