index,year,month,day,content,likecount,nickname,user_id
1,2015,6,20,开头的笑声好有魔性  我以后的媳妇儿也要有这种笑声[色],1036,流川森_,46549959
2,2014,12,11,[可爱]姿妈的音乐就像是一本书，这本书写了14年，每个人都能在书中找到属于自己的那一页 。,453,HYOUNG-,36261825
3,2015,7,15,一生中最爱的一首歌，永听不厌。几千首最爱的歌曲中唯一最最爱的。,368,窗外不归的风,915971
4,2018,1,3,2017年，我的网易云音乐听歌日记中，前十名都是孙燕姿，那么我在这申请10个赞以资鼓励不过分吧。,322,我头像只用艾薇儿,104414325
5,2015,7,12,他把md借我玩，还给他时候问我喜欢哪首歌，我说这首。没多久他就跟我表白了，我问他为什么？他说你提这首歌不就在暗示我吗？但我发誓我当时决没有这样想[大哭]最后他还是成了我的初恋,249,橄榄大人,63075022
6,2015,8,17,地球是圆滴，相遇的人会再相遇的。,228,就叫猪儿,62258858
7,2015,6,24,睡觉神曲 特别是那一句“等你说I love you Don't you konw i love you~” 天呐我的小心脏 砰砰跳 感觉耳朵怀孕了,199,张村长如我,56544622
8,2015,11,10,英国留学生都来这报到了[大哭],143,LH_GYS,28650993
9,2015,6,23,我的所有青春,124,张村长如我,56544622
10,2018,12,13,这首歌的高潮部分：“Donot you know I love you” 和 羽泉《深呼吸》“深呼吸，闭上你的眼睛”  可以完美互换歌词和旋律。,66,看夕阳的小男孩,267712168
11,2019,3,20,现在19年了，有时候真的好羡慕燕姿，她二十出头就对自己以后的人生要什么追求什么都那么清晰，我现在正值当年的她年纪，但我还对以后的生活很迷茫,13,Joyce的橙子,1665584207
12,2019,4,8,现在你媳妇有这种笑声了吗,12,LBYZNM,323123389
