index,year,month,day,content,likecount,nickname,user_id
1,2015,2,13,2000年夏天，这张专辑刚出的时候，在Channel [V]首播，我正上高中，那时候她一头干练的短发，穿着美国国旗的短装，在唱这首leave me alone的时候，我一下迷上她了，一迷就是15年，她每张专辑我都最早去买正版，有卡带也有CD。15年来，她留了长发，结婚生了小孩，我还是我，还是那个喜欢燕姿的宅男。,593,谬音小陟,51741970
2,2015,3,24,都是GAY，[可爱],400,ChiangHungWan,9160795
3,2015,3,17,个人觉得这首歌是燕姿所有作品中最出彩的遗珠。,254,莫逆不解释,31017462
4,2015,5,16,现场的leave me alone超屌[大笑],179,很有夏天的感觉呀,68591782
5,2015,5,31,leave me alone 能不能翻译成 我想一个人静静 ？,144,RyougiShiki,20722072
6,2015,5,18,想给孙燕姿每首歌刷个评论 没啥 喜欢,122,唱得响亮-,63487478
7,2016,8,15,好久没听，今天看到苏打绿在in summer巡演中又听到  男神唱了女神的歌，心情炒鸡好！,108,牧神小湖里,260096626
8,2017,7,29,孙燕姿女士的歌难度系数真的很大[撇嘴],103,柒星雪,85911992
9,2017,8,5,并不是那个男生嘶吼就叫力量，力量来自燕姿音色与生俱来的倔强不屈[撇嘴][撇嘴][撇嘴]燕姿唱的有铺陈，有爆发，有内省，有张力，这才叫leave me alone ok？那个男的是唱给杀父之仇听的，不是唱给这歌里写的ex听[撇嘴][撇嘴]尴尬症要犯,97,Islandofcyril,48634536
10,2015,1,10,没有你没有爱最快乐,83,散若烟云,35996981
11,2018,11,3,这首歌真是惊艳到我了，她的声音是力量型的，情感是细腻的，干净中又带一点点沙沙的烟嗓，再带一点点鼻音，加上特殊的咬字，还有对音乐绝顶的诠释力，这样的声音真是太棒了。,20,彼得潘与狼,261245021
