index,year,month,day,content,likecount,nickname,user_id
1,2015,2,27,很久以前有个传说，再不好听的歌曲，出自孙燕姿的口，都会变得好听。,4275,PSY小强,34150915
2,2015,2,27,我的青春有周杰伦和孙燕姿，男神和女神！帅爆了！,2109,洛城的凌晨四点,42158810
3,2015,2,27,【首发】孙燕姿全新单曲《RADIO》网易云音乐首播！《RADIO》想传递的是人与人之间的串流，燕姿相信人们都有一股隐形的能量在牵引彼此且传递讯息，这让人与人之间保持一种错综复杂却又不干扰的频率，透过对音乐共同的感受接连起情感的串流，这首歌是一种媒介紧密连结着每个人与燕姿。 @环球音乐华语部,1671,网易云音乐,1
4,2015,2,27,从天黑黑到神奇，从第一天到克卜勒。孙燕姿每个阶段给我们的都是惊喜,901,姐姐胸围一米八,10236263
5,2015,2,27,孙燕姿近年来最大胆的一次尝试，歌曲里采用的合成器音效和复古采样电波都是欧洲那边比较偏实验的电子乐元素(hot chip倒腾的那些)。为啥mv是太空主题呢？作为新一轮圈钱巡演主题歌，正好和克卜勒呼应嘛。[吐舌],884,蘼迷猫,195740
6,2015,2,27,青岛的朋友在哪里？？？？？613大家一起扭起来好么！！！！！！！,512,zlovestef,37262024
7,2015,3,4,男生如果在初中遇见燕姿，应该就不会再喜欢别人了吧。,494,郭一休,17374053
8,2015,2,27,和我一起唱 ohhhhh ohhhha radioactive radioactive,466,什么时候才能自由呢,51159011
9,2015,2,27,网易太速度～我姿妈就这么任性换风格，duang duang的爱啊～,382,DeaHallow,3700173
10,2015,2,27,期待已久的单曲，早早预购两张，还有3月28深圳演唱会，等你。爱燕姿早已成为生命中的一种习惯，最美的年华有你陪伴，感恩[爱心],325,stefan_cheung,30643955
11,2015,11,6,= =根本不觉得这首歌哪里烂。。。这么爽的节奏这么赞的编曲居然被说烂。。╮(╯▽╰)╭觉得烂的就还是滚回去听那些芭乐情歌好了╮(╯▽╰)╭,254,什么风景怎么阑珊,2889981
12,2016,2,23,开车的时候，伴着燕姿的radio越来越HIGH，然后我就收到了超速被扣分罚款的短信[流泪],235,铜须是基佬,82575068
13,2016,3,5,致敬一下我喜欢了16年的飞机场天后,189,ammdyy奇奇,69845481
14,2015,12,3,[哀伤]国籍：新加坡,179,黑猫走夜路,940197
15,2015,3,3,喜欢孙燕姿，莫文蔚，张悬，才华洋溢，不骄不躁，更没有那么多的八卦炒作，热爱不做作的音乐,167,蘑菇鱼,15928816
