index,year,month,day,content,likecount,nickname,user_id
1,2015,8,3,燕姿唱这种抑郁又有些张的歌再合适不过了,221,孙燕姿你是光芒果,77464742
2,2015,7,5,翻唱的很有味道，比原唱神经质的感觉更容易接受。,147,Phoenix_lxl,78601521
3,2015,12,19,我姿唱起英文歌简直得心应手，快出张全英文專輯，一定支持呀[亲亲][亲亲][亲亲],115,starrylee,29431936
4,2015,5,22,自从知道歌背后关于被强奸的故事，每次听都心痛,100,二十八岁可重生,57229491
5,2014,12,28,无意听到原版，才想起了那些年有多爱老大这首歌，那时还是英语渣渣，只觉得老大唱的特别有味道。[爱心],86,casualord,45765634
6,2016,3,26,听到这个版本之后把王菲的给删了[呆],72,廖小肥,6383989
7,2015,12,1,没听过其他版，燕姿这版就够了,64,Cold_To_Sunshine,57149970
8,2015,9,30,我觉得孙 和 王 的版本都很好听[憨笑],63,柳林风盛,36077305
9,2016,3,10,孙燕姿版的副歌是最有记忆点的，副歌也是最动听的。王菲的主歌部分不错，副歌觉得好乱。原唱声音一般，不过可能是最能诠释好感情的。,49,柒星雪,85911992
10,2016,5,28,有些菲佣干嘛来这首歌里秀优越感，说燕姿的是隔靴搔痒，那我觉得王菲的就是无病呻吟！我就最喜欢这个版本！,41,柒星雪,85911992
11,2016,1,22,燕姿的英文歌都好好听啊  超级有爆发力,37,水墨帅哥,35202895
12,2016,3,30,王菲的也有喜欢这首的跑来bb。人就是这样，特事儿，不bb下显不出自己能。,26,Tuzkifaraway,68097380
13,2016,5,5,飞到一个陌生的城市，漫步街头，想象你在这里走过的每一个街角，每一家店铺，呼吸的每一口空气，耳旁就响着孙燕姿的《Silent All These Years》，想打电话给你又拼命压抑的心真是难受的可以，人的一生，总会做一些莫名其妙又终身难忘的事情[哀伤],21,铜须是基佬,82575068
14,2016,2,22,毕竟新加坡人从小说英语长大的,12,遮羞布罢了,33532401
15,2015,12,19,孫燕姿，你好厲害,11,starrylee,29431936
