index,year,month,day,content,likecount,nickname,user_id
1,2017,12,5,枪花唱的是逃离，孙燕姿唱的是甜蜜🎉,681,Vvvvvzzzz,256184774
2,2017,12,9,你若走，三魂七魄不再齐。感谢你来过，孙燕姿[爱心],193,路先森爱苏先生,293937393
3,2018,6,4,燕姿内心住着一个摇滚的小宝宝无疑[奸笑]披头士，枪花，下一个又翻唱谁的呢？,158,为你我瘦冷风吹,53040837
4,2018,6,21,萌妹子翻唱枪花的正确示范☞,155,NKOHC在路上,588588
5,2018,8,14,我一定要考研,93,ooommmmm,387775330
6,2018,10,28,很好听哦 国内少数不被喷几个翻唱硬摇歌曲[大哭] 挺有自己风格的,63,你好给我来份葱爆西瓜,434401179
7,2019,3,3,对姿妈粉和枪花粉来说，这就是宝藏啊,55,one_more_chance,373742621
8,2018,6,29,咬字太性感了 这位妈咪～,49,dorianamot,362553349
9,2019,1,16,"2015.7.11克卜勒澳门演唱会上，燕姿也翻唱了这首歌。
我在现场。",46,H-S_Sun,296312220
10,2019,5,11,婚礼上循环播放的这首，没敢放G＆R版本的，怕吵到大家。个人记忆的习惯，品味听过每首歌的时候，都会想起当时发生的过往，因此听这首歌时候，满满的都是和媳妇婚礼时的美好。,38,萨菲罗斯的精绝奇遇,134610747
11,2019,6,19,燕姿真实宝藏女孩，身上的气质爱了,27,咖喱貓_,79856469
12,2019,1,2,希望2019 燕姿和 姿迷都开开心心， 如愿以偿。 ,23,孙燕姿的小迷妹啊,327977684
13,2019,7,9,一人血书姿妈20周年翻唱oasis，双料粉死而无憾,22,木白涛ao,81324903
14,2018,11,11,。。。。可是我就觉得最后那块最好听。。。。,21,遮羞布罢了,33532401
15,2018,12,3,这毕竟是燕姿唱给当时4岁纳小姿的歌，当然甜啦。就是不知道小宝宝长大了会不会吵着也要燕姿发一个给她的ep,20,feiffffelixxxxxlin,336271654
