index,year,month,day,content,likecount,nickname,user_id
1,2014,11,21,重庆演唱会，燕姿在上面唱，我在下面哭，一首歌就是一段记忆,864,偷画的兔斯基,43044550
2,2014,12,31,高中时期晚上补课回家公共车里没几个人，窗边的我看着路灯一个又一个的往后飞驰，耳机里放的这首歌陪伴了我一个又一个归途，让我觉得冬天不冷，自己也并不孤单。后来燕姿所有歌中，没有一首能够替代它所带给我的意义，每每听到，都会想起那段美好的日子。,482,Riorni,43112461
3,2015,6,14,昨晚返场的最后一首，哭得一个字都唱不出来，害怕你又要走；你也在上面哭，大概是想起这十五年的时光，心酸又幸福。时间变成行李，这一路的风景，百感交集的我们,384,肮脏的python交易,45638475
4,2015,4,5,告别为延续回忆，永恒的华丽 好喜欢这一句 晚安,254,wang_暖活,45235974
5,2015,6,15,腿是麻木的，眼泪当时真的化作诗，青岛最后一首，谢谢，你在舞台上奔跑，我站在周围的凳子上哭着走来走去，腿已没了直觉，想起你想起我这些年的失败经历，就像开场前的大雨似的是洗礼燥热给我们降温，谢谢燕姿给我们青春的洗礼,174,我们不如这样,19450805
6,2014,3,21,每段成长都有一句孙燕姿～～,171,哈哈菲,5846493
7,2017,3,8,这首歌，作为了我研究生论文的结语。,137,森林森森-,76187328
8,2015,4,28,离开时，告别时，过去时，总会想起。回头看看过去百感交集，在人生的十字路口。这首歌，在燕姿所有歌里绝对有着无法替代的地位。在03年的告别演唱会上，她边哭边唱，台下歌迷也泪流满面。即使后来，只要燕姿唱这首歌，我都依然忍不住泪水。燕姿是一直在坚持自己，在音乐和人生的道路上，寻找自由！,128,夏小莫,869908
9,2018,5,12,这是我找了14年的旋律[流泪][流泪][流泪]，我今天终于找到这首歌了[流泪]。04年我在电视上一个新加坡颁奖典礼听到这首歌，然后就记住了这段旋律，但是我一直都不知道歌名，只知道是孙燕姿唱的，那年我才10岁[流泪]这么多年我一直都没忘记这个旋律。我今天终于找到了！！！！,109,晋晋呦,24570682
10,2014,10,24,我擦 我的初恋在听这首歌又浮现出来,107,C-beams,18703201
11,2014,10,13,演唱会特地把这首录了下来,104,HYOUNG-,36261825
12,2018,12,13,刚刚看hi室友最后王彦霖走的时候又放了这首歌  突然觉得这首歌更好听了  配上情境果然超级有感觉！！！顺便说 最后一期真的哭惨了[爱心][爱心],81,身为风帆lllin,286723765
13,2018,12,13,看了hi 室友过来的，这音乐配上最后一期哭了[流泪],47,鱼丸粗面828,261773155
14,2018,12,13,在hi室友哭成狗，现在又来找这首歌，感觉就不会结束，感觉每个星期三还可以看，感觉这都不是一个综艺一个节目那么简单了，真的很感动，人善易动情，愿一切安好,42,我梦见你有梦见我,320750421
15,2018,12,15,看综艺，却把自己看哭了，表白王大爷,30,地球的半球,292761249
