index,year,month,day,content,likecount,nickname,user_id
1,2014,4,7,燕姿的歌里，我最喜欢这首The moment，虽不是她的铁杆歌迷，可她的歌也听了十多年，喜欢是因为歌里总有一种up的感觉。就像这首，就算是写的悲伤的事情，歌的背后仍然透着坚强。听着歌，我们继续前行。,932,小彬699,10159941
2,2015,11,7,凌翔茜和陈见夏一起听的歌。短暂的the moment,886,抹茶杏仁暴风雪,32685252
3,2014,6,1,昨天去了燕姿的克卜勒演唱会，多年来唯一喜欢的歌手，每一首歌都让人回忆起太多过往，每一首都让人唱到想哭。还会一直爱你！,337,Iriswho,18055655
4,2015,10,28,依然记得十几年前在我们当地的小县城电视台看到这个MV，看到燕姿流着泪的独白。印象里这是我和父亲一起看过的唯一一个流行歌曲的MV，我不知道那个时候他看到这首歌是什么心情。你走了十一年了，每次听到这首歌我都会想起你。多想你只是去远行了，而不是永远离开。,298,以最温柔的眼睛看世界,37324152
5,2015,1,13,"告别是为延续回忆永恒的华丽
",278,SolitiaZer0,26873371
6,2015,9,24,“她告诉我，她一定要去美国读硕士，要去感受一下世界上最发达国家的风景，见识最先进的教育方式。我说，好，那我们一起去。”,272,肖泠伶,86795099
7,2018,4,4,会记得，陈见夏和凌翔茜走出补习班，一起哼起这首歌。两个明明很不一样的女孩，心里都有无措和迷茫。但又一样的骄傲。,212,芒果无汁,395395256
8,2015,10,3,燕姿的歌记录着我整个青春，一听就会让人安静下来，不是低迷的无病呻吟，而是感慨着的洒脱和自立，代表着一股勇往直前的闯劲，还有那些细腻的小心事。,203,listen_to_the_pouring_rain,17351454
9,2019,2,19,“我问，在放什么歌？”凌翔茜用另一只耳机代替了回答，塞进见夏的右耳。孙燕姿的《The Moment》。凌翔茜先随着耳机中的旋律哼起来，见夏跟着轻声合唱，两个姑娘相视一笑。这一刻，时间变成行李，越过生命悲喜，陪伴着我前进……歌词的最后一句是，“我会找到自由，自由。”——八月长安,143,我猜你在看我咧,1579841813
10,2018,12,12,从哭惨了的hi室友过来，只是远行，还会回来,59,不烤羊的小酒馆,1644129065
11,2017,10,1,熟悉的歌手 冷门的好歌,55,灵魂冲浪者,424272963
12,2018,12,13,Hi室友听的，大晚上哭到不行,51,苁未庚心,265751451
13,2018,6,3,高中的最后一个晚自习   放学了,46,你实在太实在了,124123185
14,2018,12,14,hi 室友 希望第二季 再见,29,莎士米娅,63694950
15,2018,12,17,hi室友最后一期大家一个一个走的时候这首歌出来让分离变得更伤感 我想都会有讨厌分离的感觉 我们都是伤感的人,27,jiaxinxx,410986049
