index,year,month,day,content,likecount,nickname,user_id
1,2015,5,31,当年听这首歌是觉得特别奇怪。。she's got it听成了she's a garlic.一直奇怪为啥歌词是她是一个大蒜。。,1505,Yann-_-,62419178
2,2015,12,3,有听成大蒜的还好，我把I'm u venus 听成了im u penis………😭,1260,VANON,37992802
3,2015,7,29,汪峰翻唱的，一起摇摆,442,璟东凌,34890896
4,2016,8,20,刚刚听到谢依霖和张碧晨唱这首歌 好妩媚[呆],378,HCl0,93916014
5,2014,10,24,完美配燕姿,252,2UOK,2890975
6,2019,8,7,七个字母我说累了，这歌好欲。。。,246,泰戈尔说喵喵喵,117401096
7,2018,7,20,我初中的词汇量不允许我听成大蒜,226,Verlio,131463874
8,2014,10,22,好性感的声音！！,220,Royall,542422
9,2015,9,12,翻唱自香蕉女郎,141,李伯伯要去当红军,9142241
10,2014,9,13,非常有味道[亲亲][亲亲][亲亲],132,home儿儿,33536341
11,2014,12,27,根本停不下来[亲亲],123,所有人问摩西,30074422
12,2019,8,8,那七个字(懂我吧),113,佛曰不可说不可求,300058995
13,2014,7,20,没精神的时候，我就习惯性分分钟听这歌~[吐舌][跳舞][幽灵],110,乐柚Leo,6540418
14,2018,4,12,那还真是劳烦您专门到这个翻唱下面来当大评论家了 听原版不好吗,101,小麦一睡不起,38733600
15,2016,8,21,刚刚从挑战者联盟过来的，张碧晨她们唱的好好听，然后搜了一下看到是孙燕姿的歌(๑• . •๑)没有想到，以前没有听到过,79,嫣然一笑略带微凉,275896238
