index,year,month,day,content,likecount,nickname,user_id
1,2016,5,31,学生党的夏天才叫夏天，漫长得让人失去耐性的暑假，蝉声里追美剧，空调房里吃西瓜，跟喜欢的女孩子约去图书馆里自修，然后趴在桌子上睡着。从床上爬起，呼朋唤友穿着人字拖去食堂，猜今晚大概是吃红烧鸡排。时光拖得跟树荫一样深远。而大人的七八月，只能叫“天很热的那些日子”。,4068,骑车八十迈,103976816
2,2014,8,25,我还记得当时我坐在我家的阳台上，听着这首歌，准备着下午的期末考试。天阴着，我知道我自己看不进去，也考不好了，就一直望着远处发呆。我想，如果那天的考试是音乐课的话，这首歌也许就是我唯一的答卷。,2041,清水介,544027
3,2015,7,17,這個世上有個孫燕姿真是太幸福了,1965,Jrx_XXX,489115
4,2015,8,4,没有一首歌比这更能代表夏天,1203,yonho,17948209
5,2015,12,18,那年盛夏，独自一个人睡在外婆家的凉床上，电扇风很大，外面知了声鸣亮，不知不觉闭上眼，睡眼惺忪，不知过了多久，睡醒了，已经是下午了，奶奶家的收音机恰好放着这首一样的夏天，心里不知不觉空空荡荡的，四处寻找奶奶，发现她正在厨房熬粥我喝，但此时的我脑海中依旧反复出现燕姿的歌声....,878,Fat-帆,105886925
6,2015,5,11,夏天終究會結束 你終究也會走遠,846,szeszekaki,29527061
7,2015,9,24,最喜欢孙的两首歌，一是这首 另一首是180度,556,KkkkXXA,79856848
8,2015,8,5,眼前浮现出 一个海滨小镇 女主角骑着单车沿着海 夏天的阳光和汗水洒在地上 很美,397,wanzizizi,51538379
9,2015,8,29,去年的今天，我考上了大学，她该上高三，自然而然的在一个早上就被分手了。今年夏天，学车的驾校就在她家旁边，每天练车的时候都在期待与她偶遇，连微笑都对着镜子排练了好几遍。可是夏天过去了也没遇到她，明天她就要坐火车去上学了，可能就这样越走越远了吧，希望下年能有一个不一样的夏天😊,383,谁说玖基注孤生,52837729
10,2017,5,11,夏天来猝不及防 每天中午吃完饭都要贪心的吃一个冰淇淋 又会懊恼担心长胖 图书馆闷热得很 身上粘粘的继续复习雅思 下一个夏天就不在属于校园里 希望这个夏天长长的不要结束,269,marymmmmm,46273699
11,2019,6,3,明明是想你，却说成是怀念夏天。,91,蔡頭稞Masa,400391470
12,2019,5,28,我并不喜欢夏天，只是恰好每次的相遇分别都赶在了这个满是汗水的季节。每次一闻到夏天的味道，就想起那个手足无措的自己。,53,LilcWillMadeIt,1512931589
13,2019,1,23,我们那辈只有去逛田野，游河泳，捉小鸟，一台32寸大单车 感觉转了半个地球,23,L陈文靖,314229447
14,2019,9,24,"#竹大的新混剪
这个夏天告别了喜欢的姐姐，碰上了很多喜欢同样音乐的人，烫了喜欢的刘海卷发，见了在国外留学一年没回来的朋友，见到了年底要离开这里的发小，这些全部都是我不会忘记的事情
夏日沉梦终.",22,揣着怀表的松鼠先生,305755948
15,2019,4,19,在一个夏天爱上了一个人，从此余生漫长,12,思念黑猫,595570242
