index,year,month,day,content,likecount,nickname,user_id
1,2014,7,12,[爱心]12年前去高考考场时听的歌。十年前因为要准备考试没有去燕姿的演唱会，没想到这一等便过去了十年。整个世界都变了，人也变了。燕姿，今晚你是否能带我穿越十年光阴？,1664,清水断崖Shane,13978653
2,2015,5,2,十班的同学让我看到你们的双手！！,777,CrikeyLJ,10750436
3,2016,2,4,你会遇见很多人。有人爱你，有人忌妒你，有人把你当做宝，有人不把你当回事。我不能带你去。你会去一个陌生的城市，磕磕绊绊地努力事业，我不能带你去。你会褪去年少时一身的浮夸任性，成长为成熟优雅的女人，彬彬有礼令所有男人侧目。我不能带你去。你的未来，统统要你自己负责。而我根本不能带你去。,728,复活无望,32204140
4,2016,9,9,2016北京大学开学典礼放了这首歌，都是感动！,562,努力味的海风,107288997
5,2015,5,10,第一次发评论 高三 距离高考28天 两次质检都没考好  特别是省质检 算了 都过去了 希望高考正常发挥 加油,426,00001111abc,44087956
6,2014,10,23,第一次听这首歌的时候还是用的卡带，那年还在初中，一晃这么多年过去了，燕姿也以为人妻，我还在为自己的未来努力～。大爱燕姿。,344,素颜奥特曼,2821694
7,2015,3,14,高中三年班歌[大笑],261,一点角落,7100698
8,2015,3,18,初三的班歌，讨厌现在的自己，回不去了,234,cicilibie,7484125
9,2015,5,5,高三ipod里全是孙燕姿的歌 从《同类》听到《我不难过》 戴着同学买的音效很好的盗版beats 然后在很喧哗的时候听着歌自习 16号就要去听她的演唱会了[可爱],210,小王子的小花花,51459184
10,2014,7,23,终于通过了考试，终于可以意料之中的开心，对得起那段没日没夜的备考时光，但更开心的是我的小伙伴们也都顺利通过了，兑现了要过一起过的诺言～我们终于可以一起继续奋斗在写论文的征途上，期待明年夏天在燕园的约定～,184,爱舍及乌,11438638
11,2017,5,31,大连老师王博文那个视频而来，一个带过三届高三的老师，为学生做了一个视频。高考，加油！！！,166,在下李小五,342030078
12,2018,1,19,小情书来的抱紧我！！！,104,P2ny1f_,261406843
13,2017,6,2,b站王老师的几句话就跑过来了…真好听,83,-削支铅笔去看你-,295487897
14,2017,5,5,自游人，一起走到一座座山一片片原,59,芥芥芥芥芥芥末,111509771
15,2019,5,2,看了陈粒的微博过来的,32,Ellie-young,1796748308
