index,year,month,day,content,likecount,nickname,user_id
1,2014,12,20,一切分手原因都是不够爱。,10698,我們都是天蝎女,46756999
2,2015,5,12,高中看张小娴的书，一句话到现在都印象深刻：人在得不到的时候，什么都可以不介意。得到之后，什么都有点介意。这是爱情，希望你不要太介意。,7817,QuellaTama,38061157
3,2015,3,24,要相信，分手的理由只有一个，那就是不爱了。其他的理由全是说辞，骗的是自己。,4006,大梦初醒的董二千先森,35534119
4,2016,3,1,"《雨天》是《我怀念的》因为在那天我《遇见》了《懂事》的你，我《开始懂了》《我的爱》就在身边。我《相信》在我的《爱情字典》里没有《逃亡》只有《直来直往》.可是《原来你什么都不要》而我只能《眼泪成诗》告诉自己《我不难过》你《不是真的爱我》..我的《爱情证书》只能化作《明天的记忆》。
",2762,程子青,111526201
5,2017,5,23,"
你以为人生最糟的事情是失去了最爱的人，其实最糟糕的事情却是你因为太爱一个人而失去了自己。",2693,想吃三文鱼,299744937
6,2017,5,28,真正爱你的人怎么舍得不联系你,2196,弑心噢,340055220
7,2015,4,17,你好，他叫没有人[憨笑],1615,彡耳,57372778
8,2015,2,19,单身20年，你说我能听懂吗。。,1345,AbergerdessT,46559410
9,2017,6,10,我曾经太草率又急切的想表达自己对你的欢喜，太过莽撞，太过愚笨。以为我如果不说不做，你一定不知道我想什么，但后来发现，说的多，越反感，于我于你都反感。我讨厌那样没脸没皮的自己，讨厌不为所动的你，或许你也讨厌这样的我。所以就此打住就此放手，反正你又不是真的爱我,1266,我就尝一口一口,281278382
10,2016,8,6,得不到就算了吧，一切都是最好的安排，所以，就算了吧。每个人的来到都有意义，相爱的意义，离开的意义，成长的意义，最终都成为你人生的意义。,1177,jiameier_,283193392
11,2017,5,30,问了很多次你是不是真的喜欢我，每一次问都觉得自己越发掉价。想要不用问就能感觉到的爱情啊，有错吗。,679,如果是命运石之门的选择,278244195
12,2015,4,12,不是你不够好，只是人不对,665,你吃过菠萝味的星星吗,31548384
13,2015,4,29,歌词让人心疼,440,我怀旧-,64551913
14,2017,11,29,"你可以对我忽冷忽热爱理不理
肆意去挥霍我的热情
也可以不理会我的失望沮丧难过
但我对你的喜欢就这么多
你用冷淡磨完了 也就完了
总之 不会再有",438,不吃酸的cherry,454875112
15,2015,4,13,好怕不是真的爱我,393,有话可说的某某,59493403
