index,year,month,day,content,likecount,nickname,user_id
1,2016,3,6,这一生没做什么坏事，为什么情路这么坎坷？,2215,帐号已注销,78866286
2,2014,12,18,燕姿冷门金曲之一,891,奶茶还是好喝,5773686
3,2015,7,17,“我会和你一起”,723,Joey_kqXl,12326566
4,2016,1,19,歌曲开头有一句轻声的“我会跟你一起”最动人。,541,Uguesswht,54241627
5,2015,11,23,每。一。字。泪。流。不。止。,360,喂俩,5791304
6,2015,5,4,有些事物销声匿迹后你也没有发现，但是你觉得不对劲，你努力去寻找那个自己弄没的东西，结果你发现了它，但是它早已不在了。,293,日RiR,34566480
7,2015,4,4,燕姿的歌曲里，特别喜欢只有钢琴伴奏的那种,281,渣男给我滚粗,2743414
8,2017,6,8,我总嚷嚷着要找对象，可是从来没有主动想要去勾搭谁，我害怕快餐爱情，害怕分开，害怕最后我认真了别人却只是敷衍 所以我等，等一个到最后还在我身边的人，我坚持或者偏执的相信有一个人会看穿我假装的冷漠，真正的靠近我留在我身边爱着我也给我一个机会去爱她 如果最后能在一起，那么晚点也没关系。,257,背影behind的故事,248332807
9,2016,1,29,那句轻轻的我会和你一起[心碎],196,甜一分苦九分ya,50669579
10,2015,7,8,同意！其实燕姿有很多非主打歌更打动人……她的歌真的是陪伴了一代人，初中时所有男同学都说燕姿是他的老婆……,182,Serendipityyy,33664969
11,2017,2,22,我不会忘记高三暑假跟你旅游回来 我以为我们不会再见了 听着这首歌哭了好久  我也不会忘记高三晚自习你戴着右耳机我戴着左耳机听着一首首属于你我的歌 跟你同桌完全就是一场美丽的意外 你给过我希望让我以为我会跟你这么好下去 但最终因为你是直男 我还是不能和你一起 走往这世界幸福方向,163,何维多,39780226
12,2016,1,19,回忆啊 真是煞费苦心。,161,阿淳___,103867923
13,2019,2,15,因为好事多磨,41,自言自语的先生,259242567
14,2019,2,26,要么气运不够，要么情商太低，跟我一样，等不来一个合适的，或者错过了无数合适的,24,路上ol,477825066
15,2019,1,17,因为你会遇见更好的。,21,sw灬w,137511554
