index,year,month,day,content,likecount,nickname,user_id
1,2015,1,23,。燕姿节选的诗句大意是说：「除非你力战过悲伤与恐惧，承受过让你梦想破灭的年岁，因剧烈的欲望而受伤、因冲突倾轧而疲惫不堪，孩子啊，你不算真正的活过：这就是人生。」,707,prudence言,46399126
2,2015,1,18,进来发现评论好少，才明白原来是我们已老。,474,西风树下人家,30717670
3,2015,10,19,这评论数真配不上这首歌,369,林耶-,72201819
4,2015,3,22,"大三的时候常听这首歌，现在过了这么多年，才懂这个歌的意思。。。
燕姿的歌不仅仅局限在小情小爱里，只是需要沉淀之后才能听懂",229,xialu0702,41476191
5,2015,5,9,只有孙燕姿才能唱出这样的歌。,198,YZKEPLER,42348015
6,2015,3,23,我又起飞了，我是自由的，随风旋转着，开心唱着歌[可爱][晕],138,帐号已注销,11890878
7,2015,4,29,最开始听这张专辑就非常喜欢这首歌，超越小情小爱的人生感悟，也是燕姿隐退的这几年的感悟吧。,119,吃完又饿了,43114042
8,2017,9,20,我想想拥抱你，尹毓恪,94,大魔王枏苼,432233623
9,2017,9,19,看来恪恪也是一直在等这首歌的版权啊,76,Birdyyooke,539017109
10,2017,9,19,恪恪推荐的歌就是好听。,66,尹毓恪开口跪,583083115
11,2015,10,22,这首  年纪不到  听不懂    五年听懂[流泪],66,十字街头29,84520410
12,2015,10,29,几年前就觉得好听，今天突然翻到,45,AoAo姚奥新,67707808
13,2015,10,18,这种感动我记得 像出发的那一刻,44,迅捷斥候邓紫棋,46901378
14,2019,3,25,因为这张专辑发的时候网易还没有,14,骑士1989,75521112
