index,year,month,day,content,likecount,nickname,user_id
1,2014,9,20,想到高中时候让同桌反复唱这首歌。后来她还站在讲台上开了燕姿专场演唱会。想想也好可爱。,1301,DJ瓜瓜,556061
2,2013,11,7,以前毫不起眼的歌，现在听来如此动听。,881,show文路,2301284
3,2015,10,7,几年没有听过这首歌了，就在刚才开始听的时候，突然回忆起多年前晚自习放学回家的路上，走在我后面的女生在唱这首歌，唱得太好听，让我不忍回去看是谁在唱，我怕看了她就不唱了，所以至今那个人像迷一样在我的记忆里。,648,berlitz,35951479
4,2015,1,8,我想告诉你，一切都是徒劳，任何举止都是腐烂的过程。我很想亲口在你耳边大声对你说：“河对岸，什么也没有。”我没办法告诉你什么，我只能看着你像我一样愚蠢，然后残破不堪。,578,llliiimmmooo,46874575
5,2018,2,20,因为太了解，所以骗不了自己，一切归于难过之后，音量开到最大，瘫倒在一角.悲伤难过的人啊，新年我希望你长成更厉害的大人，万事胜意一点.,496,_众里寻人,255859414
6,2015,6,6,终于知道失去一个非常非常重要的人的感觉，终于知道错过的故事是如何在我面前展开。我以后会一个人走，一个人看星星，一个人摄影，一个人品酒：这些都是你教我的。祝你幸福,469,Valerie______,57228214
7,2015,6,6,燕姿的唱腔和吐词真是女歌手中上上乘 最具特色和个性[可爱],431,GeneralShark,63475397
8,2016,5,26,第一次听燕姿的歌就是这首，在学校边上的音像店，从家里大人哪里偷了20元，10元买了一盘杰伦，10元买了一盘燕姿，20元买来了我整个青春！,430,唐英哲,66778804
9,2015,4,17,天长地远。山高水长。幸有生之年知遇。憾此生不能与你共。唯愿幸福与你同在。,285,不乖_不乖,48551405
10,2015,1,28,每次听都要掉眼泪的歌,240,libsanity,47934648
11,2016,3,14,燕姿有几首歌，初听的确没有被惊艳，但却让人欲罢不能，一首是《了解》，另一首是《眼神》~~,218,RRprincess,246195487
12,2015,6,7,燕姿众冷门歌之一…,203,Sudoku,17793733
13,2017,4,8,《假如世界上只有中文歌》2017.4.7,138,-Ssi-,91383908
14,2015,4,15,我还是珍惜,110,风中的抛物线,50795231
15,2017,12,1,因为了解，我知道当你看到这条评论时会知道是我。因为了解，你知道我依然在珍惜。,55,静坐听雨听TA,48028965
