index,year,month,day,content,likecount,nickname,user_id
1,2016,1,22,咦~这个下载可以免费,781,活性炭x,100936503
2,2016,1,30,第一次听人质是曾经喜欢过的一个男同学在唱吧唱。那么超级好听。然后更喜欢他了。然后喜欢这首歌了。然后学会了这首歌。想到一个一起去ktv唱给他听。然后的然后他有对象了。我现在还是一个人。[呆],710,帐号已注销,65718996
3,2016,1,28,怎么感觉她唱的就是比别人唱的好听呢，随手评,398,hopeudance,19892034
4,2015,11,22,真心相爱的人不得不相忘于江湖，无论是谁提出分手，都会有心酸的一瞬间吧,343,姀桃,36188788
5,2016,1,23,这个下载免费啊哈哈哈哈哈哈哈,233,天才鄢,55033633
6,2016,1,24,这首歌杨宗纬翻唱的最先让人感到美妙 再后来 权振东在中国好声音上用尽深情演绎了一次 他的那个版本 真是极尽精彩 现在 在我是歌手的舞台上 苏见信有用他那不需技巧的唱腔 赋予了这首歌新的生命，每一个版本，仿佛都代表了不同的故事 每一个有故事的人 用同一首歌唱出了不同的自己,223,夏的碎片,3224563
7,2016,1,24,总该长大，总该试着成熟，放弃曾经一切你认为不可分离的东西，即使这个过程漫长且难捱，当作睡前关上的灯吧，天总是会亮的。我相信，每个来听这首歌的人，都是有故事的人。,219,帐号已注销,113824896
8,2016,2,5,其实最喜欢的是这个版本。因为有女孩子特有的柔软细腻，感觉声音温柔的能融进人的心里。阿妹的带点沙哑的声音让整个人都沉溺进去。,164,Kicii,37526173
9,2016,1,30,擦。居然刚刚那个要收费。因为你免费。所以我来了。[大哭],145,帐号已注销,65718996
10,2017,6,5,可能我不会再有勇气去喜欢你了，你感恩你妈妈，她为你做了半辈子的饭，你选择了听她的话离开我。可你不明白吧，我为了成为那个为你做下半辈子饭的女人，我做了很多很多的努力和退让。,121,你小心的样子真可爱,125089519
11,2017,10,14,我们爱一个人，就是交给这个与我们对峙的世界一个人质。我爱你，就是将我自己交给你，把我自己当成人质交给你，从此，你有伤害我的权力，你有抛弃我的权力，你有冷落我的权力。别的人没有。这个权力，是我亲手给你的。千辛万苦，甘受不辞。,42,全球顶级音乐现场,409898621
12,2018,4,6,阿姨 我现在能买起房了。能不能让她回来啊 ,31,我快让你玩怀了,403165062
