index,year,month,day,content,likecount,nickname,user_id
1,2015,4,12,燕姿所有歌最爱的一首，我也不知道为什么最喜欢这首歌，说不清道不明。这首歌陪伴了我一整个黑色夏天，广东的夏季特别漫长，非典时期拖住了前进的步伐，我艰难的穿梭在各大公司门口，只为寻得一份糊口的工作，现在十几年过去了，想想那时候真的好心酸，为自己当初辞职捏了一把冷汗。,911,王梓辰__,7296394
2,2015,5,2,"杨明学Jacky Yang（1980年－2004年），台湾一位出色的词人，2004年因为肌肉软组织肿瘤，英年早逝，年仅24岁。他曾为许多重量级的歌手写过歌，孙燕姿的《我不难过》，《没有人的方向》,《休止符》，范纬琪的《不眠》，BAD的《我的错》，还有王菲的《旋木>",686,Pukidoo,12814519
3,2016,1,4,这首歌不到999+，真的不科学。不过也没关系，评论多或不多，《休止符》一直在那里，想听的人自然会听到。,365,Cure_Angel,107946923
4,2015,10,20,我姿优秀得让我词穷,343,directorrowe,1923073
5,2016,3,21,如果杨明学没有那么早去世，又会多多少经典啊。,311,十三姐姿讯,93444995
6,2015,8,10,人在17岁时喜爱的歌手和音乐，往往会成为一生不变的挚爱。我的是孙燕姿！,186,totorodolami,48878578
7,2015,3,5,即使冷门还是太喜欢。孙燕姿[爱心],159,风中的抛物线,50795231
8,2016,4,6,没有火起来，但是难得的好听的歌~你姿的力度给的刚刚好,110,哦珍妮花比尔斯,137203265
9,2018,1,29,唱谈会 听到我们唱的时候我清楚得看见燕姿惊讶的表情 燕姿说她自己都忘掉咯[奸笑],54,stef虎牙,86952410
10,2019,5,7,32岁了  作为一个非科班出生  坚持了半辈子的电台梦马上要实现了  我的第一档节目我要放燕姿的歌  好多好多想放的  最后选了休止符 没有别的原因 就是爱 特殊的时刻要有特殊的仪式感 孙燕姿是我一生的仪式感,15,cv青言,60539833
11,2019,5,21,王菲的旋木mv里的那个男主就是他  安静温柔的样子停留在了旋木上,13,Joanna燚燚燚Fu,1540343710
