index,year,month,day,content,likecount,nickname,user_id
1,2017,11,9,曲作者来打个Call 我是这次专辑中唯一入选的内地作者 希望大家喜欢【充氧期】,6008,傅浩宸,368151006
2,2017,11,9,开头特别像《随堂测验》[亲亲]仿佛回到了那个简单愉快充满活力的燕姿,801,箐皮大崽子,46492420
3,2017,11,9,“经常有人这样和我说，说你只有这样做，只有按这个步调做，不然他们会忘记你。我常常对我的粉丝说，你一定要做你确定了的东西，如果我没准备好，我没办法出来，所以，你必须要把你的氧气都收足了，你，才可以给更多。”来自孙燕姿对于充氧期的注解。,632,楚天祥的_20,41309090
4,2017,11,12,可以说，这张专辑是我买过的最值得的一张！每一首都是精品,464,Tale_Y,31066261
5,2017,11,10,把充氧期听成童养媳，我还有救吗,385,跳舞的克卜勒,122786310
6,2017,11,22,我有种李荣浩在模仿孙燕姿的错觉,204,酒饮千觞为解愁,59125702
7,2018,1,11,"1.懒女人醒醒啊！新专演唱会呐？！一群老羊都还在等着你呐！
2.不好意思我暂停营业了，躲了躲了～别别别，求你发新专了！求你！
3.好吧，那我回来以后还是你们的女神嘛？喵喵喵？Yes!必须的啊！过多少年都是！我们一起继续疯！！！💝",200,豆花DOUHUA,69401322
8,2018,3,19,当氧气快没有时，你可以往过氧化氢溶液里面加一些二氧化锰来制取氧气，因为这是我已知的制取氧气方法里，除了听《充氧期》外最快的方法了。,118,_燕窝_,485300141
9,2018,5,29,为什么...这张专辑的歌听第二遍开始跟第一遍感觉完全不一样啊  中毒了我....明明听第一遍的时候感觉不好听的啊,93,大天狗v,425124720
10,2019,1,25,孙燕姿的歌很多都在唱“我”，不是民谣的苦难生活，不是流行的爱呀爱，也不是摇滚的这个社会怎么了，这就是我们这种小人的开心与不开心，生活就是这样，踏实，平凡。,70,Nembutal,285968582
11,2018,10,22,我觉得还是必须佩服燕姿的咬字，这首歌换别人使劲唱都会车祸吧……每个字都是燕姿的风格。,23,狐狸精本精,294780395
12,2019,4,21,你头像是什么鬼，为什么不穿衣服😂,21,即将进化的鲤鱼王,562386851
