index,year,month,day,content,likecount,nickname,user_id
1,2017,12,5,如果说14版《克卜勒》像漂浮在宇宙，凭借彼此微弱的光芒寻找彼此的方向。那么这个版本就像是找到了对方，一起躺在草地上，看着天上闪闪的星光，回忆寻找彼此的过往。,1008,用户13983189,298205856
2,2017,12,28,"1.我觉得这个版本很好听2.我想有生之年能上一次热门",882,DemonRoo,68854996
3,2018,1,14,“我已见过银河 但我只爱一颗星”,585,你可以叫我玫瑰,264685541
4,2018,4,21,"只要十美元就可以买到一颗星星的命名权
还有一张像模像样NASA的证书
中文的外文的平庸的奇特的
只要花钱的人愿意 给哪颗倒霉的星星取名叫 二狗子都行
可是
花再多的钱我都没有办法在你的名字前面加上“我的”两个字
原来对我来说
你比星星更遥不可及",342,孙燕姿田馥甄王菲新垣結衣的老公,302980651
5,2018,7,21,只有孙燕姿能超越孙燕姿,321,Stefanie孫燕姿yanzi,1524249238
6,2019,7,12,我就看看肖战的fans会不会找到这个版本 个人更喜欢这版。,290,那不勒斯的遗憾,7590143
7,2017,12,15,淋淋的蓝光够不够暖活你？,260,潍坊喷火龙-,20081605
8,2018,6,30,这版的过于温暖，温暖的甚至有点失真，那么的不常有，那么的催泪，像是长期奔波后的歇息，像是饱经饥寒后的美味饭菜，更像是受苦受委屈后与母亲的一通电话，一个拥抱，潸然泪下只在分秒，幸福至极.,241,Tailer腾,305696593
9,2019,7,12,来自燕姿铁粉肖战的安利,163,荔宝最乖,62778430
10,2018,6,8,我終於考完了。,153,無敵開心超人,76423955
11,2019,7,22,你知道吗？你的小迷弟在19年亮晶晶了 也如愿的唱了“克卜勒”完成了与小飞侠的承诺 一点一滴 一步一个脚印 他算苦尽甘来了,135,不像狮子的巨蟹,403889495
12,2019,7,13,因为战战才知道这么好听的歌,128,他的勃艮第女孩,1313384971
13,2018,12,31,你永远有耐心，永远站在我这边，陪我一起面对这个世界。这些温柔，我都感觉得到。 ​​​人生中最不快乐的关口，都是靠你陪伴庇佑。明年对我来说很重要，也请你继续守护我。我最好最好唯一的星光。 ​我也努力会无限接近你眼里的那个我自己，一直一直都会让你为我骄傲。 ​​,74,流沙优,129344903
14,2019,1,10,阿赞，17年的上海你没有能唱这首你喜欢的克卜勒，18年的十月和十二月初也没能，可是我一直记得，你喜欢这首歌，现在安安静静的再听这首歌，你是我的星[星星]，你不再是一颗寂寞的星星⭐️，我也愿意为你,68,湮灭吖儿,302224874
15,2019,3,2,有些歌真的不敢听,62,孙燕姿燕姿燕姿燕姿燕姿,414919705
