index,year,month,day,content,likecount,nickname,user_id
1,2018,3,30,"即使再见面，成熟的表演，不如不见。

——林夕",35192,-囍囍囍囍囍囍-,535435842
2,2018,3,30,这一次的《半句再见》的暂时道别，承接《跳舞的梵谷》专辑的完美ending。梵谷的惊艳，到在麦田里云集极美欢庆的我们，这一段属于我们和孙燕姿的青春记忆，用“再见”划上完满的句点。2020年，我们定将成为更好的人，在生活中寻得新的养分与收获，创造属于每一个人的美好。作为孙燕姿的歌迷，自豪。,15273,孙燕姿燕窝,9939370
3,2018,3,30,等到这只单曲有多不容易你知道么，燕姿啊宝宝生完了请你一定一定一定要记得开演唱会好吗❗️❗️爱你 永远爱你无解的爱你！说完了这半句再见我们2020年见啊[爱心][爱心],9407,岛知道哒,52210409
4,2018,3,30,原来我不发消息，你也就没有再回了，最后连“半句再见”都没有。我说我喜欢你，你说你喜欢我，都克服了性别，却因为距离变成“无解”。我不喜欢你了，就是一听歌，脑海里全是你了……,8437,还在天台,63814991
5,2018,3,30,你从来都不是过往云烟,7551,孙燕之,342611931
6,2018,4,23,我们都曾遇到过那样一个人，本以为会与之同行一生，最终却失散于时光的拐角。只是道了半句再见而已，却已用尽了所有爱的力气。,6015,抬头望到北斗星,9829701
7,2018,4,8,我做过最坚强的事，就是听你说再见的时候，笑容不减眼泪不掉。,5215,Sss爽爽,444294898
8,2018,3,30,"3月27日中午，孙燕姿在微博晒出用二胎宝宝的B超影像做的《半句再见》MV预告，并配文：“我答应你们的，《半句再见》！”
从《在，也不见》到《半句再见》 恐怕是要“集齐十句再见就能召唤天后出现”。",3445,这是一个可爱的头像,432342934
9,2018,3,30,很多事，说错了，就不会再见，很多话，看透了，才知道被骗了，这就是别人的格局，自己的活法。,3053,我被你发现了,1325095400
10,2018,3,30,用“再见”为《跳舞的梵谷》划上完满的句点，是为了更好的在2020年欢庆。,2777,孙燕姿燕窝,9939370
11,2018,3,30,半句再见，不是要惋惜又痛又伤的青春遗憾，而是要对遗憾释怀，然后继续往前。,2424,八宝蔡菜菜,376055697
12,2018,3,30,"孙燕姿的两次告别:2003年【The moment】只是远行，不是逃避，道别是为延续回忆永恒的华丽。
2018年【半句再见】而你在心里面，要怎么道别，说这半句再见，已过了多少年不见。
2020年相约鸟巢吧，燕姿，我们终要见面。",2213,楚天祥的_20,41309090
13,2019,1,26,"我想喝得烂醉后打电话告诉你我真的好喜欢你 真的离不开你 舍不得你可惜老子根本喝不醉 哈哈哈哈哈满上 满上给老子满上满上…
我喝酒就脸红 呼吸会加快 屏住呼吸 哪里都是你
",2153,丑耀,395941412
14,2018,3,30,从逆光开始喜欢燕姿十年了，虽然曾无比热忱的希望跳舞的梵谷完了会有巡演，但听到燕姿怀孕暂时告别的时候，内心还是开心的。大概喜欢一个人久了不是希望她活成你想要的样子，而是希望她自己活成自己的样子。喜欢燕姿从不后悔，说完这半句再见，我依然期待下一个十年。2020让我们极美欢庆。,1760,麦丽素0723,544048498
15,2018,3,30,这首歌的单曲封面以水彩画设计，其中大小正巧相近的泼墨样式，更让工作人员惊呼: 「很像是妈妈在亲吻小孩。」让人看了洋溢幸福感。孙燕姿展现面对人生下阶段的自信姿态，也要与大家分享，这次的《半句再见》是句说不尽的暂时道别，接下来的她也会持续从生活中获得新的养分，再次创造更多的美好。(Unive,960,H_Stef,309880055
