index,year,month,day,content,likecount,nickname,user_id
1,2014,9,26,二姐唱出了老娘就是什么都不想要，包括你。,5935,孙燕美,542076
2,2015,3,19,我只有不停的要，要到你想逃[流泪],4014,帐号已注销,10927326
3,2016,5,4,人是不能闲的，一闲就会想得太多，一闲就会感情泛滥 ，所谓矫情屁事多，空虚寂寞冷，都是因为懒散堕落闲。,3814,阿唐唐,100441639
4,2015,6,20,把强烈的疼痛轻描淡写地唱出来，却胜过了夸张的演绎。很多时候，爱走了就是走了，太激动的追问或是过度愤怒的不平都有做给别人看以及故意感动自己的嫌疑。内心翻江倒海，表面云淡风轻。见面时的微笑说嗨，无人时的独自品尝遗憾。就这样，结束了，结束吧。,2767,igezelligheid,33533289
5,2014,12,20,我难过的时候会听燕姿，感谢她的声音陪我度过那么多次的不开心，寒冷冬日，晒着太阳，听着她的歌，温暖舒服。,1473,我們都是天蝎女,46756999
6,2014,10,22,张惠妹的那一版感觉太用力了，听着会觉得累，yanzi的声音恰到好处，娓娓道来，舒服,1422,温良Llewyn,10912051
7,2015,12,28,用东北话简单的说就是：孙燕姿能把一首歌唱明白了,1066,俗世难凉我心,42887830
8,2016,5,26,这个版本已胜过阿MEI.个人感受，不要打我。[哀伤],1031,橙鲟,278797402
9,2015,12,21,时间会告诉你，温柔的声音有时最伤人,827,这是我的音乐人生,59388416
10,2016,3,28,看样子燕姿版竟然比原版还要经典，口怕[惊恐],593,雨陨,31875806
11,2016,12,30,燕姿就是那种翻唱什么歌都能变成这首歌就仿佛是自己的歌的歌手,529,雲翊宸,134288860
12,2014,12,28,那年的我还是一个初中党，那年的同桌，那年的伙伴，那年的磁带，都在我心里最柔软的那个地方,488,蛋蛋是圆D,548345
13,2017,1,2,我怕你开始烦我，讨厌我所以总是装的很懂事很听话。一直都那么主动好累，我怕有一天坚持不住不在爱你了。,360,恋爱的犀牛--,314364191
14,2017,7,24,人的平均年龄是69岁，一共24820天，19000小时，35000分钟，差不多21亿秒吧，你在读这段话，这10秒属于我，我爱你，陌生人,312,你要加油努力变好,510352330
15,2017,11,1,"那些离开你的人 
无论当初是出于什么原因离开的
也许他犹豫过挣扎过不舍过
但至少在他决定要走的那一瞬间 
他觉得没有你 
他会过得更好 ​​​  ",108,Bila____,338584836
