index,year,month,day,content,likecount,nickname,user_id
1,2015,4,24,当年在高考的考场上，嘴里哼着这首歌，做完了数学.....,368,嘘_听我说_,65369415
2,2015,5,18,嗓音好 所以什么都好听 能唱出感觉 其实歌好像没啥吸引人的旋律 一般人唱出来得全跑,271,唱得响亮-,63487478
3,2016,1,2,我们一个女同事年会上一首这个歌曲，从此在公司封神,257,一遛十三招,30098408
4,2016,1,2,这首曲子换别人唱准跑调,187,遮羞布罢了,33532401
5,2014,12,2,觉得孤独想大声哭，觉得活得累，觉得一切一切全都虚伪,156,娇弱的食人花,40359395
6,2016,1,17,只有燕姿才能完美表现出这种笑里的悲痛,107,霍去没有病,75566997
7,2014,7,21,好多年的歌，终于能听懂里面的哀伤。,105,Yogiila,30511184
8,2016,4,3,遗珠之憾！,68,你离去那天忽然倾盆大雨,6727948
9,2018,5,6,要说这歌如果收录在【跳舞的梵谷】里一点都不违和。,51,Yuseon,124533874
10,2018,12,24,我其实想知道你高考考得怎么样[晕]我每次考试只要脑子里单曲循环燕姿的歌就停不下来然后over了,10,回首仍盼机会问候,472592776
