index,year,month,day,content,likecount,nickname,user_id
1,2014,11,3,孙燕姿《同类》中有一句很喜欢的歌词，“我拉住时间，他却不理会，有没有别人和我一样很想被安慰”，慢慢的长大，慢慢的学习伪装和冷漠，慢慢的逃避热闹的人群，其实我们不是另类，而只是渴望有个同类，一个能够明白我们的躲避是害怕，而非冷漠。“心暖了又灰，世界有时候孤单得很需要另一个同类”。,11664,JangDong-gun,37804101
2,2015,7,13,爱听孙燕姿的运气都不会太差。,8668,celestial_,15987089
3,2016,1,8,相遇时以为是同类，相爱时假装是同类。,8603,帐号已注销,48293870
4,2015,10,1,一个人刚刚到德国的时候，每天都一个人，语言还不好，真的活的和被隔离了一样，当时在公交上听到，哭出来了,3789,拧嘎,40056501
5,2014,12,4,以前听这首歌，对那个男孩说咱俩是同类。现在真的找到了，却早已没心思矫情，每天都很温暖踏实。,3011,是乖乖啦,2967225
6,2015,2,3,               心暖了又五十度灰 🌚,2810,champernova,3643543
7,2015,10,16,怪物会酿果酱 他们就偷走怪物的果酱 怪物唱歌好听 他们就割走怪物的喉咙 怪物躲进洞穴 他们引诱怪物出来 怪物出来了 他们又叫怪物滚回去 怪物流泪 他们欢呼雀跃,2719,一颗星两颗星三颗星四颗星,87561406
8,2016,1,31,"像我这样的人啊 
就适合孤独终老",2333,张老三今天过得咋样啊,85310595
9,2014,12,15,有时候，夜深人静，会突然觉得寂寞深入骨髓，很想哭，却难过的哭不出来，明明想说的很多，却不知道如何表达！,1939,污力chaochao,36505719
10,2015,7,1,是一个同志朋友推荐去听的，说每听必哭。然后我也去听了，真的发现这是首可以算作同志之歌的歌，其实哪有什么同志之歌，他们和大众没不一样！只是这首歌真的特别能让同志群体产生共鸣，他们多需要同类，不愿被这世界冷眼看待！,1762,路人彦小二,76285353
11,2015,1,21,雨后的城市，寂寞有狼狈。最难熬的时候，就哼着这一句走过了很多很雨天，但是雨还是不停地落下来，我的风筝落了，我好想就像一个隐形人，看着你比较幸福，于是了解，所以，祝你开心。我害怕，我任性，我怀念的，还是那个相信未来的自己。未完成是一种期待。,1306,散若烟云,35996981
12,2015,2,7,这个世界那么大 ，可是 孤单的感觉却还是会像潮水一样席卷而来，世界有时孤单的很需要另一个同类,945,帐号已注销,31824244
13,2015,7,5,我和那个男生是同类,803,曾勵志,58042370
14,2015,12,1,你不知道，人的一生是在学会和自己相处。世界上只有一个同类，就是自己。,750,东吴先生,82478023
15,2016,1,23,我以为找到了同类结果只是一个人太久了才会把你当做救命稻草,730,反正又痛又美才是爱的本质,92907376
