index,year,month,day,content,likecount,nickname,user_id
1,2014,12,12,孙燕姿最好听的冷门歌之一，曲词都无懈可击，真正爱燕姿的人才听得懂[亲亲],1806,稍微有点冰,31938706
2,2014,7,15,感觉「兵荒马乱」这个词用在爱情歌曲里，显得逼格特别高。,1039,Sheldamn,9379526
3,2015,7,25,和平 任性 相信 安宁,690,guistar97,82137494
4,2015,2,7,“我只要在兵荒马乱中找到和平，和平对待你。”我喜欢听她唱决绝的歌词，声线天生就是一拍两散的味道。,552,原谅你不明白我的悲伤,45743360
5,2017,8,19,姿妈的二字冷门金曲，和平 任性 关于 安宁 相信 飘着 眼神 很好 银泰 了解,388,跳舞的yanzi,287088787
6,2015,9,22,最近发现，好多冷门的歌，都好听哭。,247,--简单生活xxy,17917109
7,2015,3,3,我微笑代表我正在要求和平[亲亲],208,西红柿哈哈哈,53783957
8,2015,10,5,孙燕姿，我女神，没有之一。,198,堂堂曹家大少爷,37228595
9,2015,5,2,自己一个人坐24小时的车，去复试，好好加油然后忙完了好继续去看燕姿小姐～,190,Jonny1120,31156342
10,2015,10,25,现在每天打开云音乐第一首必听这个[爱心],125,Sylar_沙拉,58874288
11,2015,1,29,好久不听孙燕姿,94,Vampire_Hunter_D,3477634
12,2019,8,26,我爱你 我很酷 不做朋友 不靠近你 不收回爱,29,海洋过森林,325742808
13,2019,8,5,《人间失格》里有这样一句话：仅一夜之间，我的心判若两人。他自人山人海中来，原来只为给我一场空欢喜。你来时携风带雨，我无处可避；你走时乱了四季，我久病难医。,27,赵-会好的,344969027
14,2019,9,27,女孩子那么厉害 分得清迪奥 圣罗兰 纪梵希 香奈儿各种口红色号 怎么就分不清 一个男孩子是不是真的喜欢你,21,-俗人哥,89924282
15,2019,4,26,懂事  漩涡  终于   真的[亲亲],19,无忧的凨,1337917522
