index,year,month,day,content,likecount,nickname,user_id
1,2014,11,13,谁比谁好，能差到多少，迟早都要，向上帝报到。,11583,Kepler426,18744672
2,2014,9,25,有一个会选歌的舍友真的是一件很幸福的事…,6535,狻猊二号,3727669
3,2015,2,5,不……每次我都会听成，约个会餐厅选在吃豆包😂😂还在想燕姿怎么对豆包那么有执念_(:з」∠)_,4365,界外KA,48033887
4,2015,6,29,难道没有人觉得这样快慢交替的特别有张力么[呆]我姿么么哒！(づ￣ 3￣)づ,2754,serious-joke,39676908
5,2015,10,2,中间的慢节奏部分明明是最出彩的 用ktv排名来衡量一首歌好坏也是low...,2336,junkoo,39223844
6,2015,12,28,其实中间那段慢歌才是这首歌的升华点，这首歌最开始是那种没心没肺的轻快，而中间的慢歌部分却告诉大家并不是没心没肺的，而是努力的太久太累 ，在一种压抑的咆哮。不是不想努力去变好，只是既然努力了后还这样 那没事 是真实的自己就好 最后的那部分快歌才是真正的放开 真正的洒脱,1954,西上北下,103176683
7,2014,12,10,听前奏就喜欢上了点了我红心[爱心]，后来听了一半曲风一变就取消喜欢了[心碎]再往后听又点了收藏[大哭],1601,LuvLetter77,32368832
8,2015,1,1,有没有人和我一样看过一版歌词写的“向上级报到”的…[大哭],1269,充电器不要炸,14565601
9,2016,3,5,tik tok 10年出的，咕叽咕叽 07年出的,1099,-小二哈-,100196662
10,2016,3,6,孙燕姿的歌很难翻唱，因为谁都超越不了,1043,渀波儿霸,34133690
11,2016,3,5,拉拉还是不错的，你看看有多少女歌手敢唱孙燕姿，不过姿妈声音是个bug,766,赵孽,34764581
12,2014,11,16,隔一段时间就要翻出来[憨笑],697,Kiwi-胡想想想变成一颗m豆,34697508
13,2016,3,5,不是我不爱LaLa  只是这歌还是原唱干净,605,会飞的荀,70468547
14,2016,3,7,女歌手中声音具有清新透彻那种力量的貌似只有孙燕姿,579,克卜勒世界巡回演唱会,83076889
15,2016,3,5,拉拉的歌就是不听原唱觉得太好听了，听了原唱觉得无法超越，所以能选到这么好的歌就很好啦，别的歌手选的歌都不太关心原唱的，可能是我比较爱拉拉吧,425,远山笑我_,74262011
