index,year,month,day,content,likecount,nickname,user_id
1,2015,6,29,孙燕姿的很多歌都有个特点是初听不喜欢，久而久之越听越喜欢,626,路人彦小二,76285353
2,2016,1,20,孙燕姿一直在为难翻唱的道路上不回头地走下去。。,476,七白老板,37467922
3,2014,10,13,新专最爱的一首，最喜欢燕姿洒脱倔强，横冲直撞的声音。尾音独特的处理赋予这首歌另一种魅力,333,说放弃要放哪里,9683208
4,2014,12,18,这首歌属于那种越听越好听的  奇怪奇怪真奇怪,272,robertjsawyer,36833301
5,2014,7,4,从最初的无感，快要变成全砖最爱了～,184,Fredasyd,1251476
6,2014,11,10,起初是整张专辑听的最少的 但是奇怪的是 现在总不经意的哼起的却是这首！,129,远行的节拍,12611935
7,2015,6,6,这首歌的魅力在于燕姿的vocal，那种活力和生命力[色]，我当初就是因为这个喜欢上燕姿的歌的,114,丐丐龙,61471970
8,2015,11,12,以前是来听歌的，现在只是来听燕姿的。,110,失眠的苏菲,48369143
9,2014,12,22,喜欢那段间奏，真带劲,109,乐乐奇,10884783
10,2018,5,28,建议网易推出一个每首歌关于作词人作曲人的链接，有时候觉得词写得很惊艳想看看他写的其他词，或者曲做的非常棒，想听听这个人其他的作品，都没有地方找，光有一个歌手的链接不够呀,97,吃瓜鲁迅,401085141
11,2015,7,17,本来想早点回宿舍尝试下早睡的，然而打开网易云音乐，随机到这首歌，然后就什么都没干，听到现在。。。,85,淮左名督,65672400
