index,year,month,day,content,likecount,nickname,user_id
1,2016,4,8,在，也不见；闲，也不发片[大哭]这两天关于懒姿的段子[大哭],18557,LoveBirdy,100653667
2,2016,4,8,感情就像一杯烈酒 当被第一个人打翻后 你就只能掺些水给第二个人[心碎][心碎][心碎],14658,你可以站在我的伞下,105759780
3,2016,4,8,孙燕姿是女神，孙燕姿是青春，孙燕姿最了不起的地方是无可取代，即使出歌已经没那么频繁。  能错的都已错过，没错过你是因为不能错。,9587,YouTube热门日推,19389416
4,2016,4,8,不是“再也不见”，而是“在，也不见”。如此决绝，深爱过，大概才会明白？,9141,羊咩咩喂,50148750
5,2016,4,8,什么是燕姿  燕姿就是随便发一首单曲  上云音乐首页。,7542,道格里夫斯,106498491
6,2016,4,8,照片我没删，我只是加密了；东西我没丢，我把它们装进了那个大箱子里；而你，我也没忘，我把你整理好，放进了这些情歌里。,7365,江湖无我,100198046
7,2016,4,8,姿姿，你真该下载个网易云音乐来看看大家对你的爱和期待[亲亲],5439,stefan_cheung,30643955
8,2016,4,8,我想喝得烂醉之后再打电话告诉你我真的好喜欢你 真的离不开你 可惜老子根本喝不醉 哈哈哈满上 满上给老子满上,4880,帐号已注销,95465976
9,2016,4,10,"错过其实就这么简单
在男生的世界里
你爱我就不会走
在女生的世界里
你爱我就会来找我
所以
最后你没有挽留
我也没有回头
一瞬擦肩
一辈子没见",4096,李拜天Sunny_,87537719
10,2016,4,8,燕姿出道不足2年就是她的巅峰，当年甩某些对手30条街妥妥的，现在只是有了自己的生活，结婚了，生孩子了，忙着享受生活了，创作欲望和思维也没有当年的灵性了，真的是非常可惜，现在只可以甩某些对手28条街了，十几年足足退步了2条街。,3581,第265天的呆滞,68308200
11,2016,4,8,孙燕姿伤而不悲的演绎恰到好处，她特意避开以梁静茹为代表的的哭腔演绎法，大量运用了自己驾轻就熟的真假音转换来表现情绪的伤感，但最后却用了高假音收尾，跳出整首歌悲鸣的氛围。第一遍听觉得突兀，细想也是用意颇深。,1791,鮟鱇鮟鱇,34974428
12,2016,4,8,58分钟，2508条评论，还是在半夜。。,1737,Stef小傻,95849389
13,2016,4,8,一个个都把林夕捧上天了 给燕姿写的词真是不走心 太表面 林夕好的词都是粤语 给了杨千嬅 陈奕迅 王菲 但是能听到姿妈的新歌还是好开心 ,1284,帐号已注销,41115157
14,2016,4,8,毕业晚会上老师要求每人唱一首歌，我还记得你唱的是孙燕姿的《遇见》，那是我一次听你唱歌，你也许不知道我那晚准备给你表白的，但是听你唱了 我决定我不表白了，我觉得我喜欢你就好，我想你能在大学里好好的去遇见你想遇见的人，其实你唱得怎么样不重要，因为那晚我们就注定是不能再见的人。,1106,下雨了_丶,121331259
15,2018,4,23,视而不见，并非不念。在，也不见；回眸万遍。,826,forrestinrail,1907228
