index,year,month,day,content,likecount,nickname,user_id
1,2014,10,12,有时候怕听孙燕姿，听到就会觉得很催泪，但是心情不好的时候，遇到困境的时候，都是燕姿的歌让我渡过去。,2350,散若烟云,35996981
2,2015,4,7,她的歌总让我觉得换个人唱就没感觉了。。脑残粉儿略任性,1834,李校尉,40378169
3,2015,7,11,第一次听的时候是六年级，现在都研二了，而我始终都没找到像封面中那样的短发女孩,1342,蓝枫516,1616807
4,2015,5,8,先开口的人算不算不争气。,1002,YIJIAN_ZHENG,33345174
5,2015,5,2,孙燕姿的歌只有她唱才有味道的感觉,487,翻江倒海遮天,49779231
6,2015,10,24,这张专辑的封面是我心中最美的燕姿   简直无人可比,417,Deaconx,31209604
7,2015,6,24,前两天回到老家，鬼使神差地找到当年的walkman ，把之前买的燕姿的磁带一盘盘翻找出来，戴着耳机，看着散落床上的一盘盘专辑，一时间百感交集,386,CyberJ,48182160
8,2014,12,10,发行14年，再一听，从喜欢到迷恋的一张专辑，寒冬里耳朵却是暖的，在教室不分时间听着你唱，似乎那段时光也未曾走远，你的唱腔，你的气息，你的短发，还有你叫#孙燕姿#,301,李坤0826,19015449
9,2017,11,18,大型粉丝安慰被歌手遗忘歌曲现场！,255,跳舞的反骨,33249451
10,2018,5,19,我为房客来  书是好书  就是有点费烟🍶。,196,初儒一,268962806
11,2019,2,13,我和认识七年的男孩在一起了 今天,183,一根炸薯条-,90037618
12,2019,1,6,你介意是短发男孩吗,167,JackyieL,481259080
13,2019,6,8,"21:56
我进了电梯 电梯信号不好挂掉了电话
突然想到以前有个男孩
我宁愿爬二十五层楼
也不舍的挂掉他的电话",157,Syunice_,1445657145
14,2019,4,21,遇到感情的第一反应，往往不是开心，而是怕，怕比对方认真，怕糊涂投入过多，怕一口气松了就兵败如山倒，像拔河一样被对方轻松拔过去，在这段感情里就此彻底落了下风,117,一个狗子两个爪子,39534431
15,2019,2,27,不算。只是更懂得珍惜,40,REPUBLIC_X,94287156
