index,year,month,day,content,likecount,nickname,user_id
1,2014,6,22,孙燕姿是难得不变质的人，且且且越来越好。,6438,轻舟馆,1313618
2,2014,10,19,他诚恳，才不让你等。[奸笑],4558,Zz楚门的世界,39607659
3,2014,12,6,180天前，用这首歌安慰女友。现在，用这首歌安慰自己,2584,省话,35398280
4,2016,7,29,刚分手不吃也不想睡 妈妈说他放走你去寻找爱你的人 你应该感激才是 人生很长你还小缘分未到 硬要结果也是苦果 忽然在某个瞬间 自己动手剪了最爱的长发 剪的很短 妈妈一看到我那瞬间眼眶红了抱着我 我在寻找 你也让别人在等 挥别错的才能和对的相逢,1348,骆泽萝拉,120202297
5,2014,7,18,你要让全世界的人都知道[大哭],1261,蜡笔哟,30057570
6,2014,10,11,他誠懇，才不讓你等。,1224,锐利修蕊,9291091
7,2015,4,12,他诚恳的告诉我他是gay，不让我等[痛苦],1116,Mandyyyyyyyyyyyyy,63000035
8,2016,3,24,我假装无所谓，却发现你是真的不在乎。,996,未来的对象你好阿,119082977
9,2015,6,17,很喜欢这个姑娘，没有绯闻，好好唱歌，作品多多，声音清澈高亢，歌曲首首动听。结婚生子，低调复出。复出后的专辑还是这么动听。一生推。,916,办他,51990082
10,2015,8,28,最感动的一句是 你也让别人在等.,856,甜菜头爷爷,87895225
11,2014,12,19,依稀还记得在2014年2月14日，太台北小巨蛋，第一次听到这首歌的感动，谢谢你，燕姿。2015年4月25日，长沙见。因为我说过你来长沙不管我在哪里我都会去现场听你唱歌。,632,小烁Jackie,29734934
12,2014,12,21,再浮躁不安的心，在她的歌声面前都归如平静  我想，除了歌本身，最主要还是这别具一格的音色  这是属于她的魔力,512,幺姑娘,44264779
13,2014,8,21,睡前听特别适合~~~,492,帐号已注销,3338996
14,2014,10,28,一如既往的让人释怀 让人放开，想带你去演唱会时听的歌，却只能深夜自己听,359,再见远坂凛,40519220
15,2015,8,3,去年你来到我的城市开演唱会 我坐在离你好远的地方 第二天你过安检正好我检查你 你非常友好全程笑脸还和我聊天 临走时你还拉了一下我的手  谢谢你 你才是真正的偶像 无论在哪个高度都有着一颗诚恳的人  无论怎样我们都是这个宇宙最特别的一颗星星  不为别人,189,迪dididididi,61166269
