index,year,month,day,content,likecount,nickname,user_id
1,2017,11,9,在一起的第一年第一次彻夜排队<是时候>签售会，转眼已是第七年，一不小心把一天过成了一辈子,2722,gmyzlin,115717129
2,2017,11,9,可是我尚好的青春都是你啊，孙燕姿，谢谢你告诉我，这悄无声息的成长，经过了天天年年的堆砌，将男孩变男生再变成男人，我在凌晨1点25分写下这段你看不见的文字，也谢谢那些看到这段文字的你们，晚安。,1840,楚天祥的_20,41309090
3,2017,11,9,李偲菘，易家扬，孙燕姿...好熟悉的三行诗,1791,Ice-point,80274282
4,2017,11,9,这首歌最有燕姿以前的味道。,1573,RU0LAN,51167517
5,2017,11,9,突然想起了那个听《逆光》的夏天，街边的女孩子在八卦“快乐男声”16强，电影院海报上叶湘伦载着路小雨，北京在迎接奥运倒计时1周年，手机还是诺基亚和摩托罗拉争霸，网吧里还是《跑跑卡丁车》《梦幻西游》霸屏，广告牌还是“神州行”“我的地盘”...那时多快乐，那时多快乐啊[流感],1538,王達龖龘,577470679
6,2017,11,9,不眠夜，为了热搜不停刷云村，也只有燕姿能然我这么拼了。“很久以后，再去怀念”，十几年后，当我们怀念起《天天年年》，就像我们怀念起《天黑黑》。“一不小心，一天走成一年”，时间如梭，但至少此刻，燕姿的声音陪伴在耳边。快三十的我，依旧铁杆姿迷，不会变,697,箐皮大崽子,46492420
7,2017,11,11,03年用复读机在CCTV3上等着放《遇见》时录下来，慢慢听；后来买了第一张磁带专辑《风筝》；后来有了MP3，放的第一首歌是《我的爱》；后来上了大学，在宿舍里无限循环《我怀念的》；后来读研等到了《是时候》；后来遇到最爱的人，一起听《克卜勒》；现在结婚2年，这辈子就一个偶像，时间都在你的歌里！,665,KANG_1989,363248602
8,2017,11,12,作为一名十几年的老姿迷，从初中到现在工作一直在听燕姿，每一次都有不同的感受。11月9号，我家宝宝和燕姿新专辑同一天出生，似乎是一种奇妙的缘分；每一个重要的人生时刻都有燕姿在陪伴，感恩感谢[可爱]。,476,城西毛小湖,269213871
9,2017,11,14,"下雨的时候女孩听着旧音乐
下雪的巷口女生在等一张脸
下一次再见女人要等好多年

墙上还因你有不合时宜的海报
你安静唱着歌走回我的生命里
旅途是天天年年日日夜夜循环
而拥有你的青春是我不老的脸",328,紫川秀还是卢云,14168794
10,2017,11,17,有一道绿光出现，在我们遇见的第一天。后来天黑黑，风筝的手不再给我牵。请不要回头，我不难过，只是风有点咸。开始懂得，如何在愚人的国度里直来直往，逆着光，寻找属于我的克卜勒。天天年年就这么过了，而你的风衣，我都还留着。下一次遇见，有很多极美的话，别忘了说。,291,我在描述你,57478067
11,2018,1,15,很少有像我这样的00后会喜欢孙燕姿。可能不像九零后的你们有这么多难忘的回忆。或许只是单纯的喜欢孙燕姿。喜欢她的歌。喜欢听着她的歌回忆着自己的故事。以前听不懂她的歌，可是熬过一些经历屈辱鄙夷以及孤独，突然就懂了。我知道，这是我成长必经的溃烂。我相信很久以后，孙燕姿，我依然会喜欢你。,262,傲娇癖,419011226
12,2018,1,8,上海2号线被跳舞的梵谷承包了,256,jerrywhh,449484057
13,2018,1,5,孙燕姿这张专辑我感觉买的特别值！,223,自然两小卷儿,549858192
14,2018,2,19,"跳舞的梵谷 寄给生活，
风衣 寄给亲爱的朋友，
我很愉快 寄给爱人，
天天年年要留给自己 只留给自己。",158,Helloa8Ze,371054364
15,2018,2,6,歌品果然莫名的相似 可只能到这了 （八中毕业第三年）,68,76342NL,300541518
