index,year,month,day,content,likecount,nickname,user_id
1,2014,9,14,王菲的声音是空灵，燕姿的声音是接地气。但不得不说在21世纪初的时候，能翻唱好这首歌的还得说是燕姿，因为这首歌不只需要天籁的嗓音，还需要演唱者个性的态度，因此不是模仿得好王菲的人就能唱好这首歌。燕姿把自己的唱腔带进这首歌里，这点不俗。,679,苦行僧大异,31577424
2,2013,12,1,王菲是我大女神，燕姿是我小女神……但是这首歌，小女神好像更得我心……,485,amigo-yao,3442906
3,2015,7,15,赞成95%的观点 燕姿声音接地气无法认同,445,时令水果记,72208944
4,2016,8,1,王菲的天空是置身于九霄云外全是透明的蓝稀薄的冷，孙燕姿的天空是仰望一片青空带着年轻人的迷茫和冲动,304,沙发鱼,288284558
5,2015,6,29,孙燕姿就算是翻唱，也能唱成自己的歌，独一无二的感觉,259,路人彦小二,76285353
6,2015,7,28,姿妈我爱你，姿迷抱紧我,229,鸡肋不是,81816871
7,2017,1,4,刚刚看了十三姐力挺菲姐的微博，特意来听这首歌～作为一个姿迷也喜欢菲姐的歌，而且两位女神都属于不喜欢炒作，为人处事低调，情商智商都高，这也是为什么一直喜欢她们的原因。[可爱],219,Ro1030,90652954
8,2015,8,3,她的声音真的太有空间感了,178,大螃蟹和老虞,73835054
9,2017,8,2,记得当时王菲幻乐一场演唱会各种争议，各种质疑。孙燕姿直接一条微博挂出来:王菲是我永远的偶像。想起很久以前有记者让王菲选一个天后的接班人，王菲想了想，说孙燕姿，虽然风格不同。,154,TractorL,20111773
10,2015,1,12,燕姿脑残粉，哈哈,143,Halo_Stefanie,44758870
11,2015,7,13,喜欢孙燕姿，就像喜欢生活中所有快乐的事物,102,嘎嘣脆小黄豆,40982587
12,2017,1,4,孙燕姿是我永远的偶像。,90,克卜勒世界巡回演唱会,83076889
13,2015,9,16,燕姿自己的味道，爱不释手。从高二听到研二，曾经是奋斗，现在是奋斗和怀念 。,82,孟克柔,41756709
14,2015,6,16,曾经能唱出来的一首歌啊，还是在高三最苦闷的时候！,57,一幕十回,17501696
15,2018,6,7,我经常说翻唱王菲的歌几乎是自杀，因为你听过王菲的版本以后，翻唱无论是诠释，还是唱功，还是感觉都难以让人觉得满意。但是孙燕姿真的翻唱出了自己的味道和风格，而且唱功和音色足够棒来支撑这首歌来翻新带给听众的感觉。,50,pigpot,267338947
