index,year,month,day,content,likecount,nickname,user_id
1,2017,11,10,"全专最爱的一首歌《风衣》
最可爱的一首歌《超人类》
最悲伤的一首歌《我很愉快》
最酷一首歌《漂浮群岛》
最具诗意的一首歌《极美》
最具突破一首歌《跳舞的梵谷》
最励志的一首歌《天越亮，夜越黑》
画面感最强一首歌《天天年年》
最像刚出道时期的歌《充氧期》
最佳作词《平日快乐》[爱心][爱心]",2274,春水煎茶zzz,298330273
2,2017,11,9,李偲菘老师的曲真的很抓耳，《克卜勒》原创hush的词，告诉我应该怎么夸！！！,1125,我坐在九份的咖啡店,72788572
3,2017,11,9,80后这批老姿迷以前可不得了，销量几百万的实体专辑，现在他们已经没有太多精力去关注这些了，他们要赚钱养家带小孩，连听歌的时间也更少了，除非在各大网站首页推送燕姿新专辑的消息他们才能发现了，,767,我的爱1011,623429998
4,2017,11,9,和声简直是神来一笔，给我的感觉就是在黑暗的森林里伴随着萤火虫的微弱灯光起舞,751,拉娜德蕊,34339878
5,2017,11,29,这辈子买的第一张专辑，有没有人跟我一样的[奸笑],734,APeng放狼的阿鑫,105385770
6,2017,11,9,夜越黑，燕姿的歌越亮[爱心],480,__几分之几,110665687
7,2017,12,3,因为这个专辑，好几年不怎么听歌的我又听好几天了，还送给十多年的姿迷老友一张。时间真的太快了，生活费都变成了孩子的早教班，孩子的奶粉，真的舍不得买一百多块的实体专辑了，而且听起来不怎么方便。只能拿出仅有的三位数生活费中的百分之三十回忆一下青春。那可是人生特别特别美好的十年呢。,247,梦想太远午餐吃饭不吃面,256522772
8,2017,11,20,"明天要去北京面试了[哀伤]希望能有一个好结果[皱眉]
坚定更绝对[鬼脸]",230,超人类啊Beeee,470571219
9,2017,12,4,我觉得这首歌很抓耳朵啊，很好听，励志的歌曲[可爱],117,桜_sama,473483100
10,2018,8,24,"谢谢。
我如愿以偿考上西南大学。",85,是最沙雕的可爱多呀,278044049
11,2019,8,25,这个现场说实话，燕姿的唱腔太太独特好听了，而且她还全程给选手和音，高音选手也唱不上去，还得自己抗，不说了，天后slay,65,万古啊长存,629173321
12,2019,3,14,"在恋练有词里看到了这句话，于是想起了这首歌
I often think the night is more alive and richly colored than the day.–Vincent van Gogh
我总觉得夜晚比白天更有生气，更多姿多彩。–文森特 梵高

梵高会在夜晚跳舞 黎明之前的黑夜也会多“姿”多彩，2020考研的小伙伴们加油吧！天越亮夜越黑!",53,零大大大大大,318523951
13,2018,3,28,这个月底《半句再见》终于要上架了，大家记得多多支持哦!燕姿微博预告片，大家去看吧!有肚子里的二宝哦!,49,半成熟爱姿,410632973
14,2019,7,22,有人注意到这首歌的开头的背景音里有木质门打开时候发出的吱吱呀呀的声音吗？这与上一首跳舞的梵谷结果处干脆的关门声形成的连接，这样的处理真的很妙！每每听到两首歌切换的地方，总会被这个细节抓住，而且吱呀的开门声给人带来的鬼魅的希望的感觉总会让我不自觉会心一笑。,40,zero0617,298383101
15,2019,8,22,有谁是因为周六明日之子先来复习一下这首歌的姿迷[奸笑],34,锤子金宝宝,41727382
