index,year,month,day,content,likecount,nickname,user_id
1,2015,10,26,好歌就是从小学听到大学依然毫不落伍,2570,嗜睡大师,38141007
2,2019,6,23,你姐就是你姐，无论休息多久，什么时候复出都能slay，这就是巨星范，点评又中肯，情商和专业素养又高，真是优质偶像[爱心],1609,独舞的梵谷,136152149
3,2019,6,23,明日之子开场live我营业的爱豆真是美翻了燃炸了呀！[色][多多比耶],1041,-Mikiii,35184021
4,2015,3,19,评论好少，我来给燕姿加评论。,968,帐号已注销,34180275
5,2016,4,20,妈蛋好想再去一次燕姿演唱会！听这首肯定超high[色],843,硒硒,258739742
6,2019,6,23,明日之女 看完只想pick孙燕姿。太强了 实力果然不是粉丝吹就能吹出来的,725,ZHAOLIPINGER,62143725
7,2016,4,10,我姿那迷人的声线呦[色],547,跳舞的小谷_,98206866
8,2016,12,31,感谢浙江卫视让我看到了燕姿。听到了现场版的。学生党不容易啊,510,沉浮涌动,314676677
9,2019,6,23,明明调挺高的，却能把声音压的很厚实,508,Silent有始无终,335356281
10,2019,6,23,燕姿说歌迷肯定很想她，眼泪差点就流出来,458,Peach荔,566409465
11,2019,6,22,千不该万不该喜欢上这个家伙，搞得一把年纪还在家里不淡定。怎么回事啊这个女人，到底喝了她什么迷魂汤，喜欢了19年。,318,DICI小气鬼,252271359
12,2019,6,23,期待网易云上线明日版,215,ALllxp,401145078
13,2019,6,25,我特别在意的是，多年后的她再唱这首歌时我能明显的听出她唱出的厚度，太棒了！那种质的感觉！她永远在进步啊在超越自己呀！！！ヾ(Ő∀Ő)ﾉ（是对比明日开场）,207,薛子白yu,304114717
14,2019,6,27,明日之子因为孙燕姿的加入立刻提升了节目格调，真的还是需要这样资历深厚的老牌音乐人来镇场。,143,偃芍馆,42641812
15,2019,6,28,妈耶，孙燕姿唱歌好A，我喜欢！,64,玛丽有只小绵羊yu,1393945968
