index,year,month,day,content,likecount,nickname,user_id
1,2014,8,17,燕姿的一首很冷门的歌，但是每次听内心都很沸腾，大爱!,543,舊藤,27495848
2,2015,6,18,孙燕姿最厉害的就是好多冷门的歌都非常好听。这首应该不是姿迷们的冷门,516,未完成s,52426699
3,2014,8,15,这首歌无可替代。,319,孙燕美,542076
4,2015,7,12,02年，大一的那个冬天，刚在一起的女友，无缘无故的分手。虽然心很疼，但是告诉自己，不要回头。可是每次一看到她，就无法轻松，前一天好容易修筑起来的防线一次次的被摧毁。而她仿佛也看透了我的心思，时不时的加以利用，几乎沦为备胎。是燕姿的这首歌，让我鼓足勇气学会走向前，不让自己再回到昨天,239,lucklk,47469512
5,2015,8,15,燕姿没有冷门歌啊！,171,pengyuan1990,57469943
6,2015,12,19,后面太他妈好听了！！！！！,156,姜木南不是很木讷,68634251
7,2015,7,20,这首歌曲太太太完美了,120,宇宙天后淋淋之花,36917123
8,2015,8,4,03年听这首歌，一遍就爱上了。这么多年翻出来依然汹涌澎湃,105,机器猫揍胖虎,937671
9,2015,7,27,祝孙燕姿三十七岁生日快乐，从听的第一张专辑到现在十五年，我们都成长了不少，谢谢你的歌声陪伴我成长的一路,100,棉花赯,71162980
10,2015,8,5,什么时候听燕姿早期的那几张专辑心里都是暖暖的,93,Noelsis,75749156
11,2015,6,7,生命第一课是流泪,83,我坐在九份的咖啡店,72788572
12,2019,7,28,好羡慕刚被燕姿吸粉的人 他们还在惊讶这么多美好的事物 ,19,one宝宝,622595614
