index,year,month,day,content,likecount,nickname,user_id
1,2019,7,23,悲观如我这样的人，总是不太敢相信天长地久的存在，但是因为爱你这件事，却让我开始，对永恒有了期待,5900,抬头望到北斗星,9829701
2,2019,7,23,生日快乐，我的女神！看到你的名字，都是我的惊喜！,4156,Doki少女鹿安然,1854050928
3,2019,7,23,"爱是藏在众多孤星之中还是找得到你。
爱是和你一起拥有喜悦和悲伤。
爱是需要拥抱时你总在身旁。
爱是陪在我身边当我寂寞时候。
爱是那句：我了解你。
爱是执着的眼神。
爱是学会感谢。
爱是愚人的国度。
但爱也是永恒。

爱是孙燕姿，和她的《守护永恒的爱》。❤",2201,H-S_Sun,296312220
4,2019,7,23,生日快乐，守护最好的你，守护最好的爱，请回头，姿迷一直在！,1922,飞行棋的猫mor,1478756408
5,2019,7,24,让我来守护你们吧[色],1660,用户1906583971,1906583971
6,2019,7,23,这首歌是燕姿想给歌迷传达自己的心意 自己与歌迷连结在一起 虽然长久脱离大众视线 但也从来没有忘记过歌迷 她知道歌迷等得很辛苦 所以她特别感谢歌迷们长久的陪伴 就如单曲封面所示 以及包括mv是燕姿精心策划出来给歌迷们最大的诚意之作 迈向20年 她希望和最好的大家继续一起全‘心’出发走下去,1623,孙燕姿燕窝,9939370
7,2019,7,23,想起那些与你一起温存的时刻，不知从何时开始对一辈子已经起了贪念 ​,1418,勺勺亮,13912224
8,2019,7,23,“如果心里有门，只有她的歌声能开启”,1332,纵使天涯海角意难平,543755610
9,2019,7,25,听过最撩人的一句话:我之前没有爱过别人，你是第一个，我怕我做的不好，让你觉得爱情不过如此。[爱心],1294,麻雀有歌,431057751
10,2019,7,23,"人间宝藏：孙燕姿
生日快乐！！！
可能从燕姿上了明日之子之后，有人开始喷她或是认为她根本不应该上这个节目，但是每一次明妹们的演唱她都会仔细聆听，并且给出适当的评语和建议，她永远没有多余的废话和套话。
再次回归乐坛的孙燕姿，尽管已经41岁了，但依旧很耀眼和充满了力量。
我爱她。♡︎",983,烤箱w,439145735
11,2019,7,23,对你来说，说太多喜欢都太肤浅，有一种热爱我愿意埋藏在心底，只想轻轻说一句“生日快乐，我们的姿”。,832,JoyZ赵晨唏,393483563
12,2019,7,23,"守护永恒的燕姿当然要让我们云村守护者来啦[可爱]
燕姿生日快乐[蛋糕]",648,Grace-VanderWaal,255585092
13,2019,7,24,"守护对燕姿永恒的爱[大笑]
不是十年太遥远，而是十年太匆忙 爱燕姿永远不会止于十年[亲亲]",615,李小璐的假奶靓,134835944
14,2019,9,27,《恋·爱密室》认识你之前我脸皮很薄，相约见面后爱使我变得无耻，你是我走不过去的迷魂阵；面对着你我不堪一击，卸去伪装举起双手，从俘虏走向奴隶。,585,用户1894313543,1894313543
15,2019,7,23,"“ 就在日落以前 我们会再见面
地球不管多远  和你一起去冒险 ”
生日快乐，守护最好的燕姿[爱心]",572,帐号已注销,1353077626
