index,year,month,day,content,likecount,nickname,user_id
1,2015,1,18,孙燕姿有什么必要突破？我就喜欢她一直吃老本,3187,不知今夕何夕,46848056
2,2015,8,5,说孙燕姿吃老本没突破我就笑了，不愧是逼乎，胡说八道也说得一本正经[大哭]把燕姿这些年的专辑放在一起比较一下，有点智商的人都能看出来燕姿技巧的成熟、曲风的拓宽、意境表达的精进。尤其近几年，燕姿对自我的突破尤为明显。突破不是指风格突变，而是对原有风格的拓展和深入，这一点燕姿做得很好,1617,银河娘,37084100
3,2016,2,2,很开心我的名字是她的歌名，而且是我很喜欢的歌手。,1288,安宁Karry,45637842
4,2015,1,6,音乐是用来欣赏的 它是否打动你 你可以去选择听与不听 所谓突破 全是不懂音乐的人的标准 音乐是情绪 是疗愈 是表达 体育才是拿去竞技的 嘿 那位说了 拿音乐比赛的 排行的 选金曲也不少啊 我只能说 您看到的叫做商业  燕姿每一时期的自己都表达的准确 这 就是 持续 突破！,980,ponyzhou,45871728
5,2015,10,4,燕姿这歌被低估了,648,王小三金,52811574
6,2015,10,31,同类到隐形人到安宁。我从质疑到固执到释怀，从我等你在前方回头到我希望你明白没有我也好，有我会更好，现在希望你都好。故事就说到这儿了,547,十一休,48979453
7,2015,11,15,那种伤心到努力想哭泣宣泄自己却发现哭不出泪滴的无力感啊，原以为会情绪大起大落，然而却是这样的安宁，分手转身，抛却大动干戈的悲喜无常，扬长而去。,364,普鲁斯特蓝,45158876
8,2019,1,5,我去，这条评论是15年的，而我依然觉得有道理，19年了，还是没有下一个能像孙燕姿那样唱歌的女歌手。,298,任佐佑,1330994070
9,2017,8,10,这辈子孙燕姿的演唱会也是要去看一场的！,206,KiKi要开心,251213285
10,2017,10,19,明天你姿就要发新专了 《跳舞的梵谷》[色],186,半颗山楂,395288548
11,2018,8,4,《第一天》《遇见》你，和现在《一样的夏天》，只是那时还是《尚好的青春》，从此《关于》我的《爱情字典》，在这《完美的一天》里，多了《风筝》、《天空》，我们互为《同类》，《爱情从零开始》，我们《一起走过》，多么《神奇》,98,_阿柚_,133272939
12,2018,8,4,《我不难过》，虽无《半句再见》，但也《祝你开心》，《我的爱》会成为《明天的记忆》，在《我怀恋的》这场《漩涡》里，我学会了《懂事》，你也《终于》《开始懂了》《星期一天气晴我离开》不是《随堂测验》，而是《真的》。,96,_阿柚_,133272939
13,2018,8,4,《接下来》，《我要的幸福》是《梦不落》，我也《相信》所有的《坏天气》、《雨天》《永远》会是《明天晴天》，可《天越亮，夜越黑》，或许是你的《任性》，也或许是我《不爱了》，所有《爱情的花样》成了《眼泪成诗》,80,_阿柚_,133272939
14,2018,3,22,22/3/2007-22/3/2018《逆光》第十一周年👏👏,67,H_Stef,309880055
15,2019,1,15,她一开口我就喜欢。,55,猫的薛定-谔,597206146
