index,year,month,day,content,likecount,nickname,user_id
1,2015,2,22,女票跟我说这是她最喜欢的一首歌，然后天天在我耳边哼哼，如今我终于听懂了，你要一所大房子…,3692,假装很坏,38509488
2,2014,8,8,这首歌当时刚出的时候绝对被大大的低估了,1240,踩着高跷去北极,258365
3,2015,1,21,一直以为这首歌叫我想有一所大房子~,761,晨morling,39896788
4,2014,12,3,我要一所大房子，有很大的落地窗户！,621,MissMiko,34099761
5,2018,3,3,这是一首很奢侈的歌，这房子起码是六室180平。,593,just721,279661770
6,2014,12,26,05年刚上大一，在小县城长大，在此之前也未曾出过远门，《完美的一天》是买到的第一张正版，今年国庆搬家整理旧物的时候，《逆光》之前所有的专辑磁带一一都在，还专门拍照留念一番[大笑]十余载时光都有燕姿的音乐陪伴，又近年关，祝福所有！,486,三斤葡萄十块,44136316
7,2018,4,21,后悔当时没听燕姿的多买几套房子,373,yingcai-remix,348843075
8,2015,1,7,当年还不认识孙燕姿，就是一听这首歌就奇妙的爱上了,311,耳后藏着一颗星,18255952
9,2018,3,19,当年我要是听了孙燕姿的劝告，如今我也不会成为房奴。,259,Mr严欢,76634918
10,2017,7,31,看新歌声被奕迅的表情逗的笑死了[大哭][大哭],258,Hcc归来,74674073
11,2017,7,30,哇终于又有人敢选燕姿的歌参加比赛了,190,无糖菠萝,125737568
12,2017,7,28,各大综艺节目选手免费为燕姿宣传。。。,164,lele-yanzi,117927432
13,2017,7,31,陈奕迅，瞪[呆]！陈奕迅，瞪[呆]！,134,艺术系精神病,92207982
14,2018,8,30,从Hebe的歌单来的,106,如果iflove,1467827663
15,2018,8,30,从田馥甄的歌单过来的[可爱]好听,93,---咖啡凉了,383584975
