index,year,month,day,content,likecount,nickname,user_id
1,2014,10,28,演唱会的时候听这首歌听得眼泪汪汪。身边的两个妹子都拿出手机给男朋友现场直播了一下，我看在眼里羡慕在心里。当下我也是翻了一下通讯录，只不过是默默锁了屏继续听歌而已。,35595,卡肉儿,9991591
2,2015,10,28,事实上，机场比婚礼现场见证了更多真挚的接吻，医院的墙壁比教堂聆听了更多的祷告。,28991,云村听歌量最佳,44890477
3,2015,7,5,一双鞋刚买的时候蹭上一点灰都要蹲下来擦干净，穿久之后即使被人踩一脚可能也很少低头，人大抵都是如此，所以最初她皱一下眉你都心疼，到后来，她掉眼泪你也不大紧张了，他当初初恋唱这首歌跟我表白，以为很爱，后来还是轻易说了不爱，分手后再也不敢听，今天再听已经没有了眼泪，惟愿你在远方安好。,15457,一只学渣真奇怪,70695563
4,2016,5,13,"小学课本里，miss是遇见。I miss you
初中课本里，miss是思念。I miss you
高中课本里，miss是错过。I miss you
",12660,此刻请你侧耳倾听,266028047
5,2015,6,11,尚好在闽南语的意思里是最好的,10895,melody-----,44616783
6,2014,10,6,看到边检口前情侣们红着眼拥抱告别的画面真是让人感动，或许每个人都有自己曲曲折折百转千回的故事，或走或留或等候，或暂别或重逢，但真心与承诺在这个年纪却显得那么难能可贵 真爱总是经得起考验❤️,8806,小小小一文兒,38254946
7,2014,11,26,尚好的青春都是你，没有片刻不想你。,8440,-瞻瞻-,6531114
8,2015,12,27,因为我们俩都是男生，所以有很多事情不能跟你在大街上做，你陪我走过了四年，最后你放我飞向更广阔的天空，之后我遇到了很多人渣，可惜当时不知道相遇则是最好,7613,张皓宇的YU,34070526
9,2016,2,22,评论真的不能看。看着看着就看不清屏幕了。,6102,爱Vivalex,93104924
10,2014,11,23,大晚上去吃火锅，棒棒的~和我吃饭的都是好亲故，只要有吃的，男票算什么！千万记得天涯有人在等待，路程再多遥远不要不回来。要把尚好的青春给最对的人。所以还是那句话，单身的人普遍优秀~晚安！,5912,xxxx_小饼干,38921844
11,2016,3,13,南昌—深圳，875公里，绕着操场走一圈是400米，走过2187.5个操场就能见到你。,5217,YaomO_O,31300865
12,2018,1,9,"今天刚背到一个单词prime，意思是青春，同时也是最好的。
",4582,生世独,301545167
13,2014,12,23,前几天收拾东西，翻出初恋时的信，不敢看，她是受我影响喜欢上了燕姿，虽然不能一起，但这也是我生命中一段重要的经历，美好的事情记得就好。,3163,伊嘉,2818100
14,2014,10,29,幸好还有你在我身边鼓励我。那一会我站在门外，再不挂电话就会哭出来了。好想有一天你摸着我的头宠溺的对我说：你那么厉害啊。我一定会加油的。[牵手],2789,溜水_,38360427
15,2016,5,3,和老婆小学三年级认识。经历了初中腼腆的互相喜欢，高中杳无音讯的分别，大学在网上偶然的重逢，之后五六年时断时续的联系，异地异国，再到如今已订婚一年。她尚好的青春是我，我全部的青春都是她。,1280,双兔傍地走,100662803
