index,year,month,day,content,likecount,nickname,user_id
1,2017,11,9,其实，编曲完全可以用苏格兰风笛代替唢呐，但是唢呐对于燕姿来说更加新鲜。而且，对于华人来说，唢呐的声音更加鲜活，因为在很多地方从生到死，传统人生的每个重要瞬间都会有唢呐的声音,1811,能猫桑,563187
2,2017,11,12,六儿给大伙吹首孙燕姿的歌,1053,Deep_River一河名忘川,99323271
3,2017,11,10,大俗即大雅  平凡即人生,902,VlPO小超人,408019135
4,2017,11,12,展堂：“六儿，整首欢快的，说不定我们跳着跳着湘玉就起来了。” 六儿：“那我就吹一曲《平日快乐》。”,828,同福客栈吕秀才,76129251
5,2017,11,14,买了这张专辑觉得血赚,746,帐号已注销,88480139
6,2017,11,10,燕姿这样一位天后，却一直在用心告诉我们平凡快乐，简单就好，珍惜当下，很难得，很感动[爱心],537,刘小灯灯,81518598
7,2017,11,14,唢呐演奏者：丁怀成（信息来源：Make Music官网 制作人员名单），现居住新加坡，1957 年出生于安徽省肖县。中国音乐家协会会员，中国民族管乐学会会员，中国音乐学院讲师。丁先生六岁时随父亲学习唢呐、笙、笛子、管子等民族管乐器。,498,丐丐龙,61471970
8,2017,11,13,燕姿：一句歌词那么长 想累死老娘啊          Hush：emmmmmmmm,464,耳朵借我A,345087339
9,2017,11,18,这首歌真的是这张专辑，最令我感动的。不会是风衣极美跳舞的焚谷，只能是它。早上喝完热牛奶出门，晚上开门就会发现桌上有一杯刚热的牛奶，你不会太感动回来就有热牛奶喝，但你知道这辈子，可能帮你热一杯牛奶的人，真的太难太难。你我都是平凡人。,340,活在烟草的物,403313208
10,2017,12,12,唢呐是一种可以听见生死的乐器,326,_-MODERATO-_,79152061
11,2017,11,12,喜欢平日快乐的抱紧我,263,Y-una,322710590
12,2017,11,19,这首歌接地气的唢呐声让我想起夏天时几乎每次加班的晚上，都可以听到办公楼西北方向不远处有响亮的唢呐声，关键那里离故宫东华门只有一公里，很好奇是什么人坚持了一夏天做这些活动，也不知道他们是在扭秧歌还是广场舞。我还曾爬到办公桌上把手机伸出窗外想录音，但录完一放全都是王府井车水马龙的声音,251,海曼岛,40036075
13,2017,11,21,晕啊，为啥不少人说这首歌是短板。这首歌是整张专辑里我最爱听的，循环的最多。,238,弦上有春秋----,48671976
14,2018,1,23,上首页了   真是争气[呲牙],89,在-也不会见,263534933
15,2018,1,4,这个编曲真他娘是个人才,76,哈哈____-___,366881847
