index,year,month,day,content,likecount,nickname,user_id
1,2014,11,10,想起了那些守着电视燕姿的广告和狂喝统一冰红茶的日子！    ,859,远行的节拍,12611935
2,2015,7,26,"15岁的时候听到这首歌，一直觉得25岁是充满朝气的年纪，生活有无限的可能。但最近老有人跟我强调25岁已经不小，渐渐的我居然也不能坦然地认为自己还年轻。我担心的不是临近25,而是生活渐渐失去变化的可能。",679,守着磨坊的大盗贼,18091421
3,2016,9,26,那年燕姿在川大体育馆开见面会，门票必须用统一冰红茶瓶标换，那一个月，班里同学没喝过康师傅，全部帮我集瓶标。捡垃圾的阿姨也帮我把瓶标撕下来。于是有了那个逃课的周末和燕姿的第一次见面。,555,听风声掠过,41395535
4,2015,3,27,回憶啊... 當初唱這首歌的時候都故意把『二』省略唱成『十五歲的我』.... 現在都不止二十五了 [哀伤],456,望武,53719707
5,2014,4,15,最爱的华语女歌手没有之一,326,王嘉远,2273187
6,2015,4,2,只有在听从前的这些歌的时候才会深刻地感受到，岁月转瞬即逝。当年还买过mv，这首歌的画面是燕姿在一个办公楼里，在做工作准备，阳光很明亮且充足地从她身后的落地窗照进来，她笑得很可爱。那个时候，我也才十几岁，初中生，那时觉得25岁简直遥远到永远不会到来，现在，我26了。,259,闪闪幸运星,34270961
7,2014,9,16,各位考研的同学们加油啊,205,Vamcrossing-LostHisCup,31067476
8,2015,4,1,我爱的这个女歌手，她唱爱情的歌曲给人疗伤，她唱不是爱情的歌曲给人力量,152,Jonny1120,31156342
9,2015,5,25,@孙燕姿 二十五岁的我 Happy B'day to myself !,100,HYOUNG-,36261825
10,2014,10,13,明年就25了,72,HYOUNG-,36261825
11,2015,4,27,同26,32,Jonny1120,31156342
