index,year,month,day,content,likecount,nickname,user_id
1,2015,7,4,书上说不要在16，17岁爱上一个人，因为这个人会让你得不到，又忘不掉。,73805,柚子阿柚,68862539
2,2014,11,18,大一那年刚考完期末考试的那天晚上，跟当时前女友介绍的室友去网吧包夜，那是我第一次也是唯一一次包夜，虽然我到现在都想不通那位美女居然真的只是想网吧包夜。我在网吧听了一夜的《开始懂了》，本以为会忘不掉前女友，结果从那天以后每次听到这首歌脑海里浮现的都是陪我包夜的那位。,47941,宇哥睡不够,39647761
3,2014,12,7,原来人会变得温柔，是透彻的懂了。,32978,郭一休,17374053
4,2015,12,11,我曾经在高三单纯为了一个女生，从一个300分的坏学生到高考冲过一本线，无数个日夜。因为我想走进她所在的学校。只是毕业后才开始懂了，这一切只是我一厢情愿，而命运也总是捉弄着人，她没有发挥好去了广东，慢慢的，或许彼此都会忘记对方，或许她从没有深深记住我，可我喜欢过她一整个高中时光。,28191,我曾是少年D,52612784
5,2015,8,17,到了现在这个年纪，确实谁都不想再取悦了，跟谁在一起舒服就和谁在一起，包括朋友也是，累了我就躲远一点，你喜欢我，我喜欢你，那么我们就在一起，如果我们都不喜欢就不要勉强，已经过了那个你不喜欢我我也非要喜欢你的年纪，更多的是，如果你喜欢我，那我也试着喜欢你好了。,22696,微笑的鱼a,55513824
6,2014,6,8,"可以说这是孙燕姿最好听的歌吗？
",19845,一天一包烟,12569960
7,2014,9,1,想着每天和你一起去吃早餐，一起上下学，下了晚自习后我会送你回家，慢慢走在街道上，看着你上楼，脚步声惊醒楼道上的声控灯，当看到你房间的灯光亮起时，我才会安心离开。多么美好，但现实总是残酷，我们输给了现实,13103,你的城,29613752
8,2015,7,13,我上学那会儿，男听周杰伦女听孙燕姿，挺幸福的,12842,Colorful_Rain_Lee,67676976
9,2016,4,22,等了半天你只回了个嗯，我也想秒回你，可你让我说什么。,11924,Boreas俊,11268536
10,2016,2,23,过了很久之后的我才想明白， 你一开始和我说的那句对不起，不过是机场广播里那种抱歉的通知又延误了您的班机。你最后分别时说的谢谢你，是三块一瓶的红茶盖子里的那种谢谢你的参与。,11755,斯避世,20162511
11,2016,3,19,狗狗得了很严重的病毒感染…之前以为只是普通的拉肚子…送去医院的路上狗狗有气无力很乖的趴我身上眯着，的士放这这歌，然后我哭了…我一大男人，可能快10年没为任何事哭过…,9530,人丑活得9,126207377
12,2014,12,17,很多年后翻着那些早已老旧的磁带，翻到《我要的幸福》，放进家里唯一还能放磁带的机器—一台同样老旧的复读机，不偏不倚地，磁带缓缓转起来，耳机里流出的正好是这首《开始懂了》。于是有些仿佛和弦一样和这首歌交错重叠的回忆也一起泛了出来。时过境迁，再次回到过往的时空，才发现有些事，开始懂了,5944,Brigbaby,15417906
13,2018,5,1,以前不明白为什么俩个互相喜欢的人要分开 把你删掉之后好像慢慢懂了 虽然我们从没在一起过 可能真的是对于你对我的不屑一顾让我感到没有希望 我见到你的第一天就把我们的后半生演完了 可惜只有我一个观众 把关于你的一切从我的世界里抹掉之后 我瞒着所有人偷偷喜欢你很久 我知道总有一天我会忘记你,5004,京华倦客在长安,1420823936
14,2014,11,14,姿妈，明年长沙克卜勒等你。青春苍茫而过，庆幸有你和杰伦的歌声结伴而过,4394,医毒双绝,16906745
15,2014,12,4,逗比花朵，高中的时候列了几首歌名问我知不知道是谁唱的，这就是其中一首，今年却已是孩子她妈，我丢[吐舌],2495,帐号已注销,35513652
