index,year,month,day,content,likecount,nickname,user_id
1,2014,12,2,看着好多人说高三是灰暗的时光，我现在大一，反而觉得高三真的挺好，充实！所谓最美的大学在高三生眼里，最怀念的高三生活在大一生眼里,12661,咸鱼不咸呀,30503559
2,2014,12,28,唱燕姿的歌的时候都会不自觉去模仿...告诉我不是一个人[大哭],5527,曾必胜,19525931
3,2015,1,25,一厢情愿并不会使人难过，使人难过的是明明一厢情愿却还抱着两厢情愿的期待,3612,孟婆_碗里不要香菜,38835052
4,2014,11,23,唱风很独特[强]孙燕姿无人能复制,2536,小金鱼QD,30472507
5,2015,2,19,高三的时候老师让我们写随笔，我把这首歌的歌词抄上去，并附上一句，我相信冬夜总会渐暖.是啊，我们总会走出过去的时光，但是很多东西就是没有答案的，就让时间慢慢的走，我们慢慢的遗忘,2112,送走你带我看的夕阳,50631033
6,2015,1,21,求评论不要把姿妈这么新的专辑整成怀旧专辑[汗][汗][汗],1895,你的天文特征是几时几分,14380985
7,2015,5,31,11年初，我和她住在那座大厦的14层，听着这首歌，当时觉得幸福不过如此。然而年龄相差6岁，截然不同的生活状态，她想要的我当时根本无法满足她。她的亲友也都不祝福这段姐弟恋，坚持3年，就这样分开了。“当冬夜渐暖，当青春也都烟消云散”，现在大厦拆了，她也嫁做人妻。也许美丽的故事真的都有遗憾吧,1551,32路穿过的挹江门,30503895
8,2015,2,20,想要说些什么，可是删了又打 打了又删，我知道这是因为回忆太鲜明了，语言不能描述。,1359,帐号已注销,16352625
9,2015,11,2,这是在我高三时出的专辑，跟女朋友因高考的事，分开一段时间，感觉那段时间自己好对不起她呀；听着歌时就会更加的伤，还好，现在女朋友还是她，还可以对她好。,1175,遇见123go,101147156
10,2015,10,25,那年夏天我19岁。一个人在云南束河古镇。每天夜里的被子都会掉下床，有的时候会被冻醒，爬下去捡回被子继续睡。清晨也是冷的，我会打开电脑听着这首歌在厨房蒸鸡蛋。可是蒸的很丑，也不好吃。但是我很满足。,931,水果店里的胡萝卜,42474383
11,2015,11,2,运动会，和最好的女同学坐在看台上，音乐放起了当冬夜渐暖，她开玩笑说这是一首为了低碳的公益歌曲。现在，她是我女朋友[憨笑],824,爱燕姿的猥琐共,99190907
12,2015,1,20,说得真棒,530,咸鱼不咸呀,30503559
13,2015,11,1,重要的是，我们如何爱过那一段…,430,Agoni-顾夏,87130
14,2015,11,2,今天很烦躁，燕姿的歌永远是我坚强的后盾。听了一天这首歌，这会心情好多了，喜欢燕姿的顶起来。[强],382,熙丫西,60153669
15,2015,11,2,最近好累/希望这个冬季能成长起来,360,听发姐在唱歌,58231031
