index,year,month,day,content,likecount,nickname,user_id
1,2016,7,31,"①春娇说：张志明，我真的大过你啊！
   志明说：我真的高过你啊 可是也没有高多少，抱着刚刚好就好.

②周冬雨：我是不是身材真的很不好？我有24岁的年龄，14岁的身材。
  余文乐：没事啊，我34岁的年龄，14岁的智商。我们，挺合适的。",7851,Pt丶Danny,16538537
2,2015,10,14,做了挺多英文歌歌词和翻译，第一次做中文歌的歌词，不为别的 只为她是孙燕姿[爱心]如果说中文歌有能让现在的我单曲循环的理由，那么这个理由就只有三个字：孙燕姿[亲亲] 五月天经典曲目，燕姿的翻唱也丝毫不逊色原唱[爱心],3143,咆哮的小清新___,3313801
3,2016,4,15,等公交时耳机里孙燕姿的歌才是夏天,2741,NoaChen,65656852
4,2017,3,15,《春娇与志明》里，余春娇说：“我喜欢一个男生，他抽烟，我想跟他有共同话题，所以我也抽烟喽！后来有一天他跟我说，我要戒烟了，我问为什么，他说他喜欢的女孩不喜欢他抽烟。他的烟戒掉了，可是我没有。”,2461,-谣言,328484155
5,2015,10,14,歌词来啦[吐舌][吐舌]做歌词的时候我还特地加上了前面说的那几句话[呲牙][呲牙]大爱燕姿[亲亲][亲亲],1932,咆哮的小清新___,3313801
6,2015,8,28,这首歌是关于两个人的，一个男生一个女生，就是我和燕姿,1728,王小野子,45050196
7,2016,1,5,好想学闽南语。还记得在地铁遇见两个新加坡叔叔，刚好一起要去太古汇，就一直带路，他们告诉我新加坡人见什么人说什么话，闽南语，马来语，英语，粤语，国语都会。。。真是屌到不行。,1723,Tim_Huang0216,42792776
8,2015,11,12,连着一星期单曲循环这首歌 。。。我们都是余春娇和张志明的影子，要做胡杏儿别做余春娇,942,啊哦小蚂蚁真有趣,32880212
9,2016,11,14,现在的我，一个人坐在机场，第一次听这首歌。一周前，他提了分手。一周了，我撑不下去了。我要去找他。也许，他不会见我，也许，也许。那时候，一起在宾馆看的志明与春娇；那时候，一起用过的志明与春娇的头像；那时候，真正相爱的我们。我去见你，亲爱的。马上登机了，你等我啊，等等我。带我走吧。,713,一个闹闹闹闹,303255021
10,2015,9,30,够任性 [大哭],549,_MayGreenDay,34937520
11,2015,9,24,听了好几个版本的 还是燕姿的这个nice,495,vanney9,44253612
12,2016,2,4,就是因为孙燕姿爱上了第一首闽南歌,382,看我可爱咩,65911192
13,2017,4,30,"＂余春嬌大過張志明 但是她矮過張志明 志明低能 但他始終比黃曉明帥啊 ＂
＂余春嬌請跟著志明 跟住都請跟著志明 志明人品 可靠過黎明 ＂
＂余春嬌請嫁給志明 下半生交托給志明 變小雙俠 才能夠在地球維繫和平＂",324,WANGYAXUAN_,388822269
14,2015,11,29,最喜欢的女歌手，没有之一。[大笑],295,我是刀克特儿,104773078
15,2015,12,3,听过发姐和小九九的相声版才来的赞我[流泪],209,扣叔,42475913
