index,year,month,day,content,likecount,nickname,user_id
1,2015,4,1,只要爱错了人，每天都是愚人节～,9397,小绿Iris,7024080
2,2015,1,11,每次听《愚人的国度》和林宥嘉的《想自由》都会不自觉地流泪，音乐真的很神奇！,3970,洛城的凌晨四点,42158810
3,2014,12,25,愚人的国度好听,2306,吹着冷风拉着你的手,6713605
4,2015,11,2,记得第几次分手来着，在火车上一直听这首歌，哭了一路。。。现在听只是想哭，泪终于不再落下来，或许没到深夜吧。,1899,帐号已注销,87067271
5,2015,11,1,这歌才出了四年...,1898,肮脏的python交易,45638475
6,2017,12,14,"我一直覺得如果有機會
我應該是個合格的戀人
溫柔大方 善解人意之類的事情信手拈來
但是一不小心太喜歡你了
所以一切都搞砸了
我成了幼稚又小心眼 嫉妒心爆棚的討厭鬼[心碎]",1707,人间不正经生活手册__,390404795
7,2014,10,29,燕姿好像有小孩了，是不？[示爱],1141,忘不掉x容颜,6717097
8,2014,12,15,在电视里偶然听到，瞬间爱的无法自拔。,778,用户32906849,32906849
9,2015,8,16,好想艾特你 可惜你不用网易云,579,多肉酱想去永无岛,37773470
10,2014,10,13,百听不厌。,521,JOY方,36414759
11,2015,11,2,是庆幸也是悲哀,474,帐号已注销,87067271
12,2014,10,19,昨儿没有唱愚人的国度…好！遗！憾！,455,西西弗斯1208,452416
13,2017,11,29,"高一的时候在一起 现在高三身边还是有你 不知道以后的路是怎样 但是只愿你我能一起考个好大学 慢慢细水长流 无论我们结果如何 现在 我只想记录一下目前的想法 以后回忆起来还是妙不可言
我想 在距离高考的191天里 我们共同奋斗 做一对羡煞旁人的情侣学霸[爱心]",316,要554427,510463421
14,2019,4,20,你多聪明阿，把我逼得崩溃。然后打着感情牌，把所有的错和责任都推向我，显得你用情至深，算的真好，你怎么睡得安稳。,202,阿阿然呢,394755229
15,2014,10,20,好好听哦。[亲亲][亲亲][亲亲][亲亲永远支持你哦。永远支持你哦。][亲亲][亲亲][亲亲][亲亲][亲亲][亲亲]永远支持你，加油！,165,阿阿丽妹,30973360
