index,year,month,day,content,likecount,nickname,user_id
1,2015,4,24,骄纵有人疼，懂事遭雷劈,1087,hongzhijian,54506953
2,2015,3,7,懂事的人换来的却是内心的痛苦，有时候任性撒娇更有用,304,说放弃要放哪里,9683208
3,2015,8,9,孙燕姿很冷门的一首歌。旋律并不讨喜，也很难唱，如果喜欢这样的歌，大概会比大众歌更敝帚自珍。【是我一直太懂事，任你自由地犯错，错到无法再让你，留在我的世界】一个爱的姑娘安利了《我们的十二年》，林萧潇喜欢的歌。真心希望能快快出现一个配得上她的人爱她。,261,彻安,55909497
4,2017,6,14,有些女孩子从小到大都太懂事了。什么是懂事呢，就是想要什么都不敢说，怕看到父母迟疑的眼神；也不敢开口求帮忙，怕麻烦别人。所以现在总处处为别人考虑，谁对自己好都感激涕零。为什么要把这种定义成善解人意呢，我反倒希望你找到一个能记住你所有喜好的男孩子。不求最好，只愿最温柔。,215,f_ucking_,471758630
5,2016,2,21,嗯，其实这首歌当年不冷门。。同理还有直来直往，奔之类几首。。要真说冷门，只能说老孙是乐坛的一股清流……从来不迎合当下，她的歌一直都是冷门。,197,消失小明,66570901
6,2014,8,1,这首歌挺难的,113,帐号已注销,17230016
7,2015,12,13,感情本身就是非理性的，所以不要奉劝我用自己理性的思维去压抑自己的感情。用伍迪艾伦的话说，我们都需要鸡蛋。而此刻我是你的那颗，不过你舍不得打破它。,87,偏偏偏爱用刀刺,66596346
8,2015,8,23,我们的12年,78,GHaoYan,52092749
9,2015,8,10,十二年很喜欢,71,libido123,39050108
10,2014,6,9,爆发力强,63,Google大神,241353
