index,year,month,day,content,likecount,nickname,user_id
1,2014,12,1,只是你觉得而已[可爱],531,Tim_Huang0216,42792776
2,2015,6,1,看到评论有人说姿妈陨落了？哈哈，每张专辑都能过滤一些所谓的老歌迷,432,Halo_Stefanie,44758870
3,2016,1,27,喜欢燕姿的都是善良的人[可爱],182,将往观乎四荒Zhang,41213820
4,2015,6,24,最爱的女歌手 没有之一！,148,随缘0415,68288307
5,2014,12,6,不是陨落，她淡出了，现在全面复出，上一张专辑卖的很好[鬼脸],131,帐号已注销,30839727
6,2014,12,10,不管怎么变化，燕姿一直是圈内承认的天后。看他的资料，简直是震撼，,108,草样O年华,43111333
7,2016,1,5,毕竟成熟了 沉淀了几年 想法不一样了 也许你过几年再回来听最近两张专辑感觉就会不一样～燕姿的歌是经得起时间考验的[憨笑][憨笑],84,闪泥啦啦啦,88079495
8,2016,4,2,燕姿是我最爱的国语女歌手！,80,AmanoAki,44216242
9,2019,4,9,不觉得梵谷质量会比之前的一些专辑差啊,18,雷米JR,127987055
10,2019,4,29,不知道判断专辑质量下降的标准是什么呢？,13,ImOkay823,50669672
