index,year,month,day,content,likecount,nickname,user_id
1,2017,11,1,11月6日开始预购~请稍等一下亲们[大哭]（赞我上去。。。,18210,网易云音乐,1
2,2017,11,1,"歌词的荒凉大概是偏执的爱一个不爱自己的人吧。能引起共鸣是你以为你喜欢的人也在等你吧？",12918,筋肉少男,292923088
3,2017,11,1,听着歌，我给你发了消息说想你了。 你只回了四个字：发错了吗？ ,10981,孙嬿姿,17383023
4,2017,11,1, 如果爱是一片荒凉的大海 我选择与你愉快地一同沉没,7379,powerfulname,58777669
5,2017,11,1,"孙燕姿的歌有一种孤独的感觉 

而我们每个人都是孤独的


""停在半空中 寂寞又狼狈 有没有别人 和我一样很想被 安慰""
无言以对",4270,帐号已注销,630187665
6,2017,11,1,"我要的幸福，我的爱，我不难过，我怀念的，我也很想他，我很愉快。
我怀念那时候每天早上醒来看到网易云你艾特我分享的歌曲 上班路上我很愉快🐦。 ",4162,心安静木吉他,322392402
7,2017,11,1,"你不用管我啦，我很愉快。

除了，

没有你。",3505,顾均临,302418635
8,2017,11,1,从逆光，到是时候，到克卜勒，到现在的跳舞的梵谷，我听到的是成长。她并不像很多人说得那样一成不变，只有一路走过来的歌迷才会懂，无论是音乐还是做音乐的态度亦或人生的态度，燕姿一直在成长，陪伴我们一起成长。你很愉快，我们就很愉快！[爱心],2290,Jasondong_f,294802580
9,2017,11,2,"我很愉快
我每天都在笑
每天都很好
都有很多的事要做
我不会想起你
我不会哭",2213,不善言辭的人_,87356328
10,2017,11,1,“当然我还是得  不动声色地走下去  说这天气真好  风又轻柔  还能在斜阳里疲倦地微笑  说人生真平凡  也没什么波折和忧愁”,2002,穿着雨衣在雨中散步,111923677
11,2017,11,1,凌晨三点 夜不能寐 辗转反侧 思绪疯狂 心如黑洞 病名为爱,1861,-__XBB,317251853
12,2017,11,1,"「如果愛是一片荒涼的大海 我選擇與你愉快地一同沉沒」-@孙燕姿
这首歌有点歹毒 拿把刀刺一下你的心还要问你痛不痛",1686,戏精体质,297235702
13,2017,11,1,"“有你真是太幸福了”

“哥们，你喝多了要不要帮你叫个车？”",1680,脸猪,398416422
14,2017,11,1,我脸上很愉快 心里却悲伤难受到要死,963,DISABLEman,88437731
15,2017,11,1,眼泪是爱恨枯萎结的果 ， 遗憾是余生唱不完的歌，我一个没谈过恋爱的人。就应该坦坦荡荡的说出我很愉快。其实不然愉快就不会这么晚还没睡了。,619,Eddie-Fannie,325726984
