index,year,month,day,content,likecount,nickname,user_id
1,2014,10,31,我怀念的是我爷爷还在的时候,186928,掌声伴随嘘声,8646659
2,2015,6,8,演唱会孙燕姿唱到「我怀念的」 身旁的女生拨通了电话举着给对方听 副歌全场合唱时她对着手机喊谁懂我多么不舍得 喊完才看到电话已经挂断了 后半首歌女生一直低头哭着说 本应该是你坐在我身旁 而她身旁的座位也一直空着到终场 ”已经结束的感情 也许真的只剩下你在怀念”,98464,弯月亮叫月牙儿,54821081
3,2014,10,25,过去的歌，都是这样好听到哭。,70464,cheeeen-mooo-oo,18237761
4,2016,1,4,人要是矫情起来 所有歌都是写的自己,67526,徐小珂觉得很赞,61273493
5,2014,10,18,我更不记得了 你说好久好久没有那么用力的抱着一个人。我可能只记得我们默契的没有联系了 所以顺理成章的我们开始了各自没有彼此的新生活。我只会记得有一个我喜欢的不够彻底的人和一个喜欢过我但是后来就不喜欢了的人。我也只记得我还有生活要过。你也是。所以不会再见了。,40892,予也-,8959553
6,2014,11,2,我喜欢的那个男生也许永远永远也不会爱我 但是我真的很怀念他 很舍不得和他的友情舍不得那些曾经,34935,次姬,31475897
7,2016,4,29,七年后，你结婚了。听说那天新娘很美，眉眼温柔。听说那天你爸妈很高兴，让你拉着新娘的手挨桌敬酒，你从前是一杯倒，如今却怎么喝也醉不了。兄弟们凑到一起，开你和新娘的玩笑，新娘娇羞的笑，你却忽然神情恍惚，因为你不合时宜的想起，以前你拉着的另一只手，还说要天荒地老。,31761,狂暴军医,77454815
8,2014,11,9,我放手，我让座，假洒脱，谁懂我多么不舍得，太爱了，所以我，没有哭，没有痛。都说回忆是种消极生活方式，可是不知不觉已经这样消极了3年。。。现在都不知道怎样去爱一个人。。。太习惯这样的状态了。,27451,草莓佬臭臭,31873544
9,2014,12,6,一首歌唱哭了多少人,26192,-解忧杂货屋,33235749
10,2016,3,28,我妈去世三年了。。。时间长了，。亲戚也疏远了。。老爸每天工作。。现在考驾照每天一个人在家。。前些日子煤气中毒差点死掉。。我怀念的是有人关心的日子[流泪][流泪][流泪][流泪],24415,用户77488926,77488926
11,2015,2,11,三年以后，男和女相遇，男：你好吗？女：好.女：你好吗？，男：好。女：她好吗？男：好，他好吗？女：他刚刚告诉我他很好。,20727,低调的见佛,50359783
12,2018,5,1,18年1月23号妈妈肺癌去世了，到今天99天了，我很想她，没有人知道我偷偷哭了多少次，心里也是万念俱灰不知道怎么活了。妈妈才49岁，大学刚毕业的我马上要回报的时候可是你已经不在了。时光无法倒流，请珍惜身边的人！可是我仍然没有珍惜住，还是留下太多的遗憾！妈，我想你了，真的很想你！,18446,我放不下牵绊,481975043
13,2017,6,13,初三的来我们学校体考，学校领导安排学生会成员在考试三天期间辅助老师介绍学校。我被安排到她隔壁班，期间一有时间就会远远的偷偷看她不敢和她说话不敢靠近她，就这样三天过去了。在结束那晚我看着歌词默默流下眼泪，在最后那天我路过她班她在多媒体上放了这首歌，她是我的前女友。谢谢你LYX,15464,YoungG_v,431384360
14,2017,5,19,我更愿意狼狈不堪.也不愿失去你,12514,徳卡叔叔,135197543
15,2014,11,19,最喜欢的女歌手之一了！！！,10243,张老月,42206225
