index,year,month,day,content,likecount,nickname,user_id
1,2014,12,28,1分38秒到1分39秒有个女的说了声谢谢你啊[惊恐][惊恐],616,cho-yaeng,34658289
2,2015,6,28,很好听的一首歌，真假音转换好牛啊，别的评论你们都是什么鬼！,425,屎囧囧,48624156
3,2016,2,8,冷门佳作篇[星星],247,madness819,38209154
4,2016,2,17,我想我已经没有葫芦～～[大哭],197,不灭的赤兔马,81428538
5,2017,1,2,这所谓的鬼声明明是乐器的声音，也许是电吉他拖出来的尾音，抱歉我不是专业人士只能这么描述了，但乐器和人声还是能分清楚的,194,萝卜大神我,107404911
6,2016,1,3,[呆]异地不分手，最后绿成狗，到底，最后谁绿。他绿还是我绿，还是在我之前他先被绿了，不好说。,153,A0等风来,63808136
7,2015,5,3,从围脖跟过来第二首歌依旧啥也没听见🌚,96,Despera-do,50016627
8,2018,12,10,"初一的时候近视了，刚配眼镜，在屋里用老式录音机放这首，唱到 “瞎了眼,变成看不见”的时候，就听见我妈在外边冲我喊，还唱呢，眼镜都戴上了",46,牛崽痕氓,15787718
9,2016,2,8,卧槽灵异梗的评论去屎！,43,觉来知是x,56760665
10,2018,12,26,我怎么没听到,19,大吉大利宝宝,545189629
11,2019,2,27,   蔡依林的《看我72变》后面有个人叫“哥”的声音其实不是小女孩的声音。而是工作人员和录音人员在后台发现蔡依林唱歌哪个地方唱的不行就提醒一下。演员在录音棚唱歌的时候不是一次到位的。而是一首歌反复唱几次，再把100%好的地方给穿插起来的。,14,Conanggg,415001411
