index,year,month,day,content,likecount,nickname,user_id
1,2014,12,31,高三时，班里轮流在黑板写一句鼓励的话，我写的就是“幸福，我要的幸福，在不远处”。现在大学都毕业了，过得好快。,1259,唐诗贰佰,47346247
2,2015,2,13,2000年夏天，她刚出道的时候，在Channel [V]首播，我正上高中，那时候她一头干练的短发，穿着美国国旗的短装，在唱leave me alone的时候，我一下迷上她了，一迷就是15年，她每张专辑我都最早去买正版，有卡带也有CD。好怀念那个时候，她一年出两张专辑！,870,谬音小陟,51741970
3,2015,4,3,为什么我想起了“幸福，我要的幸福，不交房租”……,822,深海魔王派大星,54644056
4,2015,6,1,幸福，我要的幸福，没有高数…,621,sfhhdnj,41247119
5,2017,7,25,前奏是5拍子的，进入主歌后节奏型变为5-6-5-5拍循环，直到副歌最后一句才出现连续两个6拍小节，之后又进入5拍间奏。Bridge“梦想 理想”用了5拍子， “幻想 狂想 妄想 我只想”则用坚定的6拍子推入高潮。5拍给人不稳定感，呼应“我还不清楚”暗示迷茫；“渐渐清楚”后则回归稳定的6拍，体现坚定。,487,DreamReaver,16809927
6,2014,11,2,上学时只是知道听，现在才真正明白歌词的意义。,321,seaspring,35871049
7,2015,5,10,克卜勒巡演安可曲 最后我还是想到了你 没有消极的情绪 反而听到燕姿唱到副歌 脑海中全是我们在一起开心的样子 欢呼声过后 我竟不舍回头 因为我知道 就算我回过头努力张望 现实也会告诉我 你不会再像当初那样 站在我身后 笑着叫我的名字了,264,itstravis,6046530
8,2015,5,3,我想以后可以像燕姿那样用《我要的幸福》作自己人生的安可曲,253,帐号已注销,37833626
9,2017,5,4,5拍6拍反复交替 难死孙燕姿,198,因为你王菲所以我王菲,87769855
10,2017,6,3,婚姻失败，遭遇背叛，摧毁了我对幸福生活全部憧憬和期待。以为遇到新的幸福指引，可又在拉我走出泥泞深潭后突发情况离开了我。我一直认为自己是个平凡的想过最烟火那种生活的人，可为什么生活给我的都是苦情剧狗血剧？喜欢燕姿十多年了，所以就算这样，我还是相信，我要的幸福在不远处，是吗？是吧。,173,Hopesohopeso_,2546333
11,2017,10,13,燕姿说她录的最久的歌，我马上翻过来听听。[大哭]有多少人是这样来的,151,跳舞的克卜勒,122786310
12,2017,12,1,爱了17年的歌，在梦想的声音听到，不禁感叹原唱游刃有余对于超难度节拍的把控，更在她无比坚定唱着「幸福 我要的幸福 渐渐清楚。幸福 我要的幸福 在不远处」一秒飙泪p.s.这歌有个可爱的故事：虽贵为天后，但根据她老师记忆，录歌时唱了两次后就没声音，蹲在角落哭说“好难，想吃巧克力”,99,笛卡尔的情书,341581
13,2019,1,21,兄弟你大学已经毕业第五年了，还开心不？,17,花莫笑丶,514517742
14,2019,5,29,当年燕姿在录音室录这首哭了哦，哈哈。就是因为很难唱好，有新闻的。才出了这么经典的一首歌,14,Kafucheng,391808401
15,2019,2,17,"编曲：Martin Tang

他的称号，新加坡编曲圣手",14,作词_作曲_编曲_MV导演天下第一,546057330
