index,year,month,day,content,likecount,nickname,user_id
1,2015,3,9,           燕姿說她自己最愛的一首,4386,champernova,3643543
2,2014,11,3,爱情在距离永恒最靠近那次毁灭了,1994,itstravis,6046530
3,2014,12,1,抖腿专用歌曲，魔性循环。［doge脸］,1488,19710115号观众,2781851
4,2016,3,8,2014年10月我去听了孙燕姿可卜勒演唱会，10月我决定了要考研。2016年3月我还在自习室里坐着，备战复试。我看到了黎明就在前方，给自己说一声加油。不管多辛苦多疲惫，一切的努力都是值得的。,1439,urnotrui,44137258
5,2015,4,26,本来很励志的一首歌，看了mv以后竟然给人一种想哭的感觉。年轻的回忆，就像掉了的冰激凌，融化了。成长的过程，是忍受，是抛弃，更是突破，某个以后，某个转角，都是无限大。孙燕姿更加的优秀了，仿佛完成了一次蜕变。旋律超级带感。,865,gasandaerosol,52495287
6,2015,1,20,跑步专用,755,有趣的灵魂真是太少,41235544
7,2014,10,3,歌词给人热乎乎的记忆,720,未央之,37634436
8,2016,4,16,Stefanfie：我曾经是一个叛逆的人，有太多自己的理想和想法，总是觉得这不对、那不对的，甚至想要逃离自己原有的生活空间，因为我喜欢自由。我现在还是有自己的想法…但是我也会保有学生时期对生活、生命的悸动，因为我知道，它会随着年纪增长而渐渐消失。,680,赵世熙,86912277
9,2018,8,8,之前中央音乐频道一个节目老是放这首歌的mv！！一下子就喜欢上了！！！！,629,wanan_luu,536633850
10,2014,11,25, 是的、高潮不自觉就抖腿系列,512,清凤徐莱,42083993
11,2017,12,18,"高一偶尔听到《遇见》和《我怀念的》，特别喜欢
高二知道喜欢的歌是孙燕姿唱的，就跑去学校对面的奶茶店蹭着WiFi下了她所有的歌
高三爱上了孙燕姿
大一为了转变性格把她的歌删了，跟着别人去听一些流行歌
大二感到孤独的时候在网易里偶然又听到了她的歌，莫名想哭，，对不起，差点把你弄丢",476,超完美女孩,571448569
12,2016,7,13,被MV里的短发帅了一个夏天[可爱],459,梨园弟子黑发新,92528353
13,2016,3,5,自从看过一次这首歌最热门的评论，现在每次听都是变态……[撇嘴][撇嘴][撇嘴],445,青嘴入海口,95177895
14,2015,11,21,克卜勒这张专辑是我印象里有史以来在华语专辑里唯一一张每首歌都好听的专辑，同意的点赞！,289,假装不正经00,38128457
15,2019,1,24,巧了，我最爱她的歌就是这首,191,肖祖行,1586032491
