index,year,month,day,content,likecount,nickname,user_id
1,2015,1,1,二姐，我们又老了一岁啦,1083,孙燕美,542076
2,2015,8,7,十年陈奕迅，百年孙燕姿。,962,25的Leo,49691406
3,2015,11,2,"11年大学入学，我是大一，你发了是时候。
15年大学毕业，我是大四，你发了克卜勒。
这大概就是所谓的其实你跟我们每个人都是有联系的。谢谢你~谢谢你的陪伴~谢谢你给我们的一切~",379,Runawaynova,18066452
4,2014,10,20,泪滴在琴上，有了歌能唱,317,_MKong,36697934
5,2015,7,9,当你发现时间是贼了，它早已偷光你的选择。,313,橘央,63006297
6,2015,4,9,时光像小偷，你的音乐却留住了我的青春。,214,stefan_cheung,30643955
7,2015,1,15,多少光阴转瞬即逝……11年的我，高三时反复的听，说不出的哀伤和感动。历经两次高考，如今大三的我，此刻的我，依旧有那时的感觉。,193,一只不完美的海星,3241795
8,2017,6,15,这首歌反映地是燕姿四年的心里变化，在一个09年采访里，燕姿说最能代表她地就是关于这首歌， 07年逆光专辑里面的《关于》:“我 想要旅行 没有目的  单纯逃离”  时过四年，是时候这首《时光小偷》说“人要学会，停止流浪”这四年她做了许多自己喜欢的事，最后踏入婚姻的殿堂（个人解读）,190,黄鹂和白露,250222772
9,2015,1,23,"""人要学会/停止流浪/我也一样""，似乎是这首歌曲想要告诉我们的.散文般散乱的画面那是一个人对于世界零散的记忆.我们一直活在世界上追逐,钢琴家们追逐一首又一首优美动听的旋律,孩子们追逐一个又一个美丽的烟花,我们追逐着一条又一条人生的真谛:原来这就是我们的生活",171,prudence言,46399126
10,2015,5,26,说时光是小偷，这个形容太到位了。眼看自己和周围熟悉的人一个个老去容光不再，你真的拿这个时光小偷很无奈。幸亏我们人生中还有美好的回忆，要不然面对这样的小偷我们只能伤心地哭泣。很欣慰有燕姿这样的歌声暖心，在这窝心的时刻，让我看见一片灿烂的阳光••••••,144,华叔听雨,54022847
11,2015,1,5,初三时候的歌，现在才听出了时光像小偷拿走眼泪背后的聚散离合，爱恨悲酸。,99,Lawrence么么哒,33887997
12,2018,4,6,13年，高一，记得当时《是时候》出来的时候，我拿同桌的塞班系统的Nokia，放了时光小偷，他还说我浪费好多流量，真是的，被时光偷走的8年,61,i十一点睡觉,275547786
13,2018,4,8,时光小偷，偷走了我的童年。呵......唉。对啊，我们怀念过去不是为了别人，而是怀念过去的自己。,35,镌刻鲸竹,411497435
14,2018,5,21,我经历过最强烈的三次心跳，一次是上课被老师点名，一次是坐飞机失重下坠，一次是在机场遇到你的时候,30,troyeshwsad,479357702
15,2019,5,25,陈奕迅:？？？,11,Youweregoodtome,329997545
