index,year,month,day,content,likecount,nickname,user_id
1,2015,4,2,想起当时为了买这张专辑预售饿了两周，长大路上爱过很多歌手喜欢过很多歌，但是唯有燕姿让我无法割舍，甚至还让妻子和孩子爱上了燕姿，每回听到都能想到自己的青春,595,xavierlugo_Ryan,6369052
2,2015,2,9,这张专辑最喜欢的一首歌，略微的压抑中带着一股坚定,334,Kongxy-明天晴天-34,8944271
3,2016,5,31,初听无感，但是后面发现越来越有韵味，也许只有资深姿迷才能欣赏这些燕姿的冷门歌曲,294,黄鹂和白露,250222772
4,2014,12,23,我们走得很慢，连幸福都着急,199,九糕,33608857
5,2016,2,13,作曲孙燕姿[憨笑],187,跳舞的小谷_,98206866
6,2015,7,14,奇迹留给别人   因为已经有你,149,_warm天下无敌,76830916
7,2015,3,21,评论这么少一点也不科学[汗][汗][汗],136,如歌_的行板,41991132
8,2015,10,19,每逢快到冬天的时候就想听燕姿的歌。,119,NC_KK,44057083
9,2015,2,14,大学时候每晚被窝必听之一。燕姿冷门金曲之一。有多难唱，去ktv一唱就知道[奸笑]。,119,坦克是小飞侠,38787965
10,2015,6,8,评论少不代表不好听，评论多也不不代表好听,117,Tim_Huang0216,42792776
