index,year,month,day,content,likecount,nickname,user_id
1,2015,3,14,原本以为那么合适的人，但最后还是要分开。这个世界定义了那么多美好，也定义了那么多未知。阳光大好，套了件羽绒服就出来，额头冒汗，原来春天来的那么迅猛。我26岁了，不得不像个大人了。,3059,丁小天天天胖不起来,45789954
2,2018,6,4,考上中山大学了，来找自己的评论,1999,那位张同学啊,475389492
3,2015,10,22,她到底还有多少好歌我不知道,1993,帐号已注销,79023870
4,2015,10,30,当初考研的日日夜夜这个歌确实给了我力量，让明天把今天给记住，不是因为孤独……只是多年后才明白，孤独并不是一座可以越过的山丘，而会绵延不绝，当初以为永远在身边的那个人会离开，所有的回忆也都会变成想回到的过去……,833,xialu0702,41476191
5,2014,11,4,让明天把今天给记住 不是因为孤独，因为我们追求的专注 不管它起起伏伏，让今天把明天变特殊 未必因为幸福，因为我们努力不服输 尽管失误，让明天的记忆不模糊 不是因为孤独，因为我们执着的态度 不管它起起伏伏，让今天把明天变特殊 未必因为满足，因为我们过得不含糊 从来不曾退出。,707,巨型翕忆,35633031
6,2015,2,17,每一首孙燕姿都要循环,478,Five_half,53157798
7,2015,1,1,2011年某段时间听的最多的歌,323,张来福_,41180398
8,2015,10,27,迷茫了就拿出来听听，我相信现在的孤独和不顺都是暂时的。,253,Harukacici,9735009
9,2015,1,10,这首歌的mv真心看哭过，特别是最后mv出现的一张张照片，回忆就这样来了[流泪][流泪],201,帐号已注销,30839727
10,2015,11,1,我一直相信音乐一直相信燕姿,197,CTRYY,99725744
11,2018,8,30,考研复试的时候正听这首歌，和对象都考的北京的同一所学校，白天很累，晚上一起骑共享单车回住的宾馆，那时我们过得很苦，最终我考上了，她落榜了，免不了以后异地的命运，现在再听这首歌都是当时一起拼搏的场景，当时的今天成了现在的明天的记忆，我在等开学，她在二战，希望我们最后能在一起。,118,快听歌的小小东,273093470
12,2015,11,3,我高中的每周一歌,116,紧急替补,96704128
13,2015,1,2,我是九十九！耶~~,115,啦啦啦啦唔啦啦啦啦啦啦,35784753
14,2015,11,1,今天听到的一首很应景的歌……,90,Moonoon_s,44401181
15,2014,10,31,单曲循环症,85,YW_ZQ,18870234
