index,year,month,day,content,likecount,nickname,user_id
1,2014,4,15,最爱的华语女歌手没有之一,528,王嘉远,2273187
2,2015,9,7,你是谁？我是小时候的你啊。,321,Dirstac,628785
3,2016,3,27,孙燕姿《未完成》的编曲来源于舒伯特《B小调第八交响曲（未完成）D759》第一乐章。更多流行音乐的编曲来源，可见本人整理的歌单《听流行音乐怎样借鉴古典音乐》。,282,法拉索,76192338
4,2015,6,7,仿佛回到了初中时的那个夏天。旧房子的小卧室，紧挨着窗户的破木桌，楼根儿底下吵吵闹闹的人群，蓝的一塌糊涂的天，一切都是to be continued……,233,蛋蛋wo,7142796
5,2015,4,14,和初二一样，还是对这首歌特别爱,186,迦蓝_深红乌鸦,47314867
6,2014,7,23,孙燕姿生日快乐！[蛋糕],137,赵老默,20042745
7,2015,9,26,特别喜欢前面打字机的声音，一听到这首歌就想起初中的时候总是边听磁带边爬床上一本一本的翻漫画～,117,猫宁桑,16214639
8,2019,11,16,“这首歌是关于25岁的，第一次听到觉得25岁离我好远啊，也会憧憬25岁的自己是什么样子，但是转眼间，我已经过了25岁了。”,99,小赞耶啵去滑雪吧,1329713730
9,2015,7,16,谢谢这些年有燕姿陪着我们？🌼🙇🏻🙀👋🏻🙆,95,将往观乎四荒Zhang,41213820
10,2015,4,28,my song you story。听到的就是十三年前～燕姿一如的随性不拘束，这张专辑也是燕姿最好的专辑之一～,90,夏小莫,869908
11,2019,11,16,肖战的粉丝应该去听 这张专辑里的 “年轻无极限”   因为25岁的梗 是那首歌的歌词里面的 。当年配合统一冰红茶的广告 电视里全天轰炸,73,悍人,30706687
12,2017,8,15,尹毓恪观光团🙌,56,一口肙,264454046
13,2019,11,16,欢迎你们来听你们喜欢的人所喜欢的歌，但我希望你们在听的时候听的是这首歌本身，评论这首歌也是由歌触发的想法。而不是耳机里放着什么无所谓我就只是要来评论一下我来的原因。我是很爱听音乐的人，我会觉得每首用心创作的歌都该得到应有的尊重。,50,NTUfail,71924954
14,2017,8,22,尹毓恪光观团，超级喜欢孙燕姿的歌,46,戳戳戳你肉脸,257321542
15,2017,8,18,尹毓恪观光团,27,Kvenry,557862926
