index,year,month,day,content,likecount,nickname,user_id
1,2017,11,9,燕姿说，这首歌是对整张专辑的一个总结，她想告诉大家生活不是一味只有咄咄逼人的疯狂与黑暗，它还有平和与温暖。树爬再高树叶终会归地，人们相隔再远最后终会在麦田相遇，而金黄色麦田的样子，就是她心中，天堂的样子。,4175,抬头望到北斗星,9829701
2,2017,11,9,今天是17年11月9日，网易云音乐迟到了半小时才推送出燕姿的新专辑。 从第一首《风衣》听到最后的《极美》，十分满足。现在凌晨一点半，是时候循环专辑睡觉了。晚安，各位和我一样爱燕姿的人们。晚安💤💤💤,1851,就一姿迷,257349522
3,2018,1,26,我怀念的雨天                                                                       眼泪成诗                                                                             当冬夜渐暖                                                                        开始懂了  （喜欢燕姿的第15年）,1412,1handsome-亮,82637948
4,2017,11,9,就像《很好》很好，《极美》也是极美。,1315,避风的期望,40860634
5,2017,11,9,听完整张专辑后，就如姿妈本人所说，崩溃好听！！！,833,我坐在九份的咖啡店,72788572
6,2018,3,4,麦田见[憨笑],706,yokoyamiao,318344125
7,2017,11,9,"作词：孙燕姿 
别忘了落叶也归地
我们在麦田里云集 极美 欢庆  ",639,Hauntin,37440630
8,2017,11,10,从高中到32岁  为我姿打call ,627,11丁一,84810240
9,2017,11,11,集美大学校长你出来一下  燕姿都给你们写了校歌了  还不官方宣布一下？,609,冰黄茶茶茶,56763740
10,2017,11,9,看清了黑夜 灯熄灭了也无妨                                                      因为风再凉伞还是在身旁                                                    谢谢最好的孙燕姿[爱心],407,周果亦,98357645
11,2017,11,9,"从完美的一天这张专辑开始，每张专辑最后一曲都是燕姿送给姿迷的特殊礼物。
明天晴天
关于
隐藏曲11
雨还是不停地落下
极美，一如既往，关于自己，关于成长，关于心境，一首慢曲收尾13姐13专",378,黄鹂和白露,250222772
12,2017,11,13,简单的短发，单薄的身子，倔强的声音，尚好的青春，都是燕姿。,289,跳舞的克卜勒,122786310
13,2017,11,14,看了风衣MV之后，开始买了整张专辑，整个听下来后，发现买的非常值得。,263,万里无晴空,310869312
14,2017,11,11,如果声音如同22的时候 会有更多人吐槽吧 声音最美妙的地方就是加上一组时间轴 让它有时态感 以前的燕姿春光明媚 现在的歌里能听出秋天的味道。,261,那不勒斯的遗憾,7590143
15,2017,11,13,曾经以为，把那些悲欢离合的剪影，拼凑成驱寒的风衣，就可以抵挡时间的猖狂。后来发觉，紧紧包裹着的，不过是耿耿于怀和念念不忘，丢掉了又何妨。最后懂得，原来赤身裸体也可以无所畏惧。回首往昔，时不时有叶子归根落地，看我们在麦田里笑得多么轻盈...,217,我在描述你,57478067
