index,year,month,day,content,likecount,nickname,user_id
1,2015,7,30,面试的时候唱了这首歌，被录取去搬玻璃。。。,1420,飞翔的20号罗宾侠,3077131
2,2016,1,4,今是三毛逝世25周年。我们不得而知，这个迷样充满灵性、情感极致丰沛细腻的女子，25年前为什么与世绝别。总之她来过，并且深深切切、不留余地地活过。她在无数人心里埋下一颗叫“流浪”的种子。如果流浪的情怀是某种派系，她就是鼻祖。愿天国也有撒哈拉，有她至爱的大胡子荷西。,1124,墨一陌,5680305
3,2015,10,3,不要要求一个艺术家唱你想听的，画你想看的，设计你想要的，这是常识！ 高了说，美学中对二度甚至多度创作的可能性给予广泛支持，低了说，人家爱怎么唱都是有理由的，音乐这东西，此时不爱，未来某天突然沉溺的作品，简直数不胜数，奉劝主观臆断者，不要轻易论断，只会暴露你的自大和低劣！,625,ponyzhou,45871728
4,2015,6,21,感觉是齐豫的版本是未开始流浪。。孙燕姿的版本已经在流浪的途中了,428,有只橙子,54180059
5,2015,7,2,原以为燕姿较低沉的声音唱不出空灵的流浪之感，但听了之后，我发现我错了，燕姿唱得真的特好！,354,黑暗不过黎明前,9873806
6,2015,7,12,澳门演唱会终于听燕姿现场唱了橄榄树，献给她的父亲。,295,猫的薛定谔0611,48879241
7,2015,11,5,经历了撒哈拉沙漠的沧桑，看过了滚滚红尘，只是为了梦中的橄榄树,265,如果你跟我说_你要离开,68248462
8,2015,1,27, 好清澈的声音。,217,另一个尹天,16756448
9,2017,3,24,三毛是我高中时最喜欢的作家，燕姿是高中时最喜欢的歌手。今天翻着听了听中学时听的中文歌，试着回忆那段听歌的日子。好在忘了大半，没有了故事，故事从何说起。不要问我从哪里来，用沉默埋葬了过去。anyway我现在很好。,200,Ophita,74897611
10,2018,2,4,"如果有来生，
要做一棵树，
站成永恒，
没有悲欢的姿势。
一半在土里安详，
一半在风里飞扬，
一半洒落阴凉，
一半沐浴阳光，
非常沉默非常骄傲，
从不依靠 从不寻找。
——三毛《说给自己听》",179,绾起伊人青丝,510548100
11,2019,1,12,你讲反了吧[大哭],21,与鹅结婚的猫头鹰,102577326
