index,year,month,day,content,likecount,nickname,user_id
1,2015,9,16,纠缠八年的男友分手后，他也不时要求复合，可是说真的，我确实也不舍，但真的不想再回头。有时候真的在想，如果，换成现在的年纪再遇见他，有没有可能会比较幸福？有没有可能我们不会走散？现在你已为人夫，我依然单着，当年负气说的要比谁先结婚，胜负已分！祝你幸福是真的，祝你们幸福，我做不到。,2387,扶朕去搬砖,61554936
2,2014,7,2,可惜这些属于孙燕姿不属于蔡健雅,1228,FMLYHM,14116440
3,2016,6,15,一个人在你生命中的出场时间与顺序真的很重要,1005,该昵称无法显示刷新也没用,30617500
4,2016,1,25,孙燕姿和蔡健雅都爱，她们都是我心中最优秀的华语女歌手，比比比，有意思吗？人俩都是好朋友，写歌，还合唱，你们有什么好比的，真是够了。,902,反方向的半岛铁盒,67210595
5,2015,10,31,又听到你的消息很满足。,463,民谣与茶,61117291
6,2015,1,5,时间仁慈的倾诉那些孤独,362,Lawrence么么哒,33887997
7,2017,8,17,如果我们晚一点遇见  我恰好温柔  你恰好成熟  我们会不会走到最后,314,嗨嗨嗨的李太太,127473769
8,2017,8,12,"90％的异地恋都分手了，那又如何呢？不是还剩下10％吗？就算不幸被那90％命中又怎样，生命就是要浪费在美好的事物上。比如躲在被子里和你煲电话粥，比如去车站迎接风尘仆仆的你。最重要的是“爱”而不是我们会不会分手。趁着年轻有人可爱，不要犹豫了
其实说得永远都比唱得好听 可是真的好难受。因为..",306,嘘_别告诉他,115981478
9,2015,4,8,你不要这样让我一个大男人哭！喜欢不该喜欢的人是作茧自缚自作自受的辛苦。,295,empty515,47626163
10,2015,6,25,虽然我也喜欢蔡健雅，但我觉得这种细腻有意蕴的还是适合燕姿，蔡健雅可能会显得比较大气一些，我个人认为,170,抛物线Ai,75868101
11,2016,1,3,燕姿就是从天黑黑开始一直陪伴着我们的歌手，健雅就是比较适合长大后的我们,158,魔鬼的眼泪ln,99652871
12,2015,4,3,对于爱的人在过去的的人 太适合不过。,132,鸭梨大人很甜哦,47709172
13,2017,8,13,想起他，有时候会想起自己当初的不对，想轻轻安抚他，有时候会想起他的所作所为伤我多深，但三年来也慢慢抚平，当想起与他在一起的甜蜜，我真的好怀念，三年前他的哄我，在乎我，跟我道歉，也被我的冷漠伤的不轻，现在的他桃花不断，不知道现在有些堕落的他会不会在偶然的时候想起我，不知怀着何种心情,106,野火堆_,383093334
14,2019,11,16,听了首页的翻唱，回来洗耳朵了,66,反过来走走哇,327679681
15,2018,7,23,今天是燕姿40岁生日，我们一起祝她生日快乐[蛋糕]，幸福一辈子❤️,61,8B8BHOME,288500186
