index,year,month,day,content,likecount,nickname,user_id
1,2015,3,12,为什么我觉得是这张专辑的隐藏神曲,685,Jonny1120,31156342
2,2015,7,19,大概三四年前吧，还在云南中部的一个小城读高中，放假爸爸就会开车带我去郊外兜风，那时候特别喜欢在车里放这首歌的CD，记忆里的有着蜿蜒的盘山公路，漫山遍野的绿色和星星点点的野花，特别喜欢那种自由和旷达的感觉，那时候总是期待着未来会到新的地方遇见不同的人，而如今在广州上大学，但最怀念从前,367,JNU田,79996331
3,2014,11,30,看见评论有人想我了。。。,326,孙燕美,542076
4,2015,10,6,大一刚进校，学院举办了一场燕姿模仿大赛，那时的她是冰红茶的代言人。我唱了一首她的“同类”，得到了第一名：一张完美的一天燕姿签名专辑，好高兴！直到现在依旧在听她，让我觉得温暖。。。每一首都喜欢！,290,取一个你找不到的名字1,73340775
5,2015,7,6,由三星d808引起的回忆....,196,西风吹落叶,20203785
6,2015,11,30,19岁那年 在网上认识一个女孩 和我一样大 她在金华 我在盐城 那会儿和家里人吵架 我就拿着两万元的存款坐上了去往金华的大巴 一路上听的就是这首歌 我已经走在流浪的地图 至今难忘 一个礼拜后 网上有了我的寻人启事……,183,姿此一生,101120344
7,2015,6,25,小时候在表姐家过暑假 舅妈的三星里面只有这一首歌据说还是自带的 玩了一个月的贪吃蛇听了一个月的流浪地图 现在想想还是好神奇。。。,104,啵鸡,68453436
8,2015,5,17,比萧贺硕唱得好听,67,superbiaa,65407111
9,2016,1,25,最初听的萧贺硕的版本，后来删掉了。现在听回我姿，还是我姿最棒👍,62,AmanoAki,44216242
10,2018,12,28,你暴露年龄了，，，我大一时候我还偷过超市贴的她代言的冰红茶海报，哈哈哈,12,__beibei__,1644131821
