index,year,month,day,content,likecount,nickname,user_id
1,2015,5,31,上一次听这首歌还在同济图书馆做托福试题背GRE单词，如今坐在了纽约大学的图书馆里，璀璨了！,18056,Cyber_Julia,57184604
2,2014,8,29,这首歌要多听几遍，越听越有味道[惊恐],3289,负人君子Boy,33457290
3,2014,10,31,像梁静茹的丝路。(在追逐中追逐着，才懂漫步的渴，当握紧的手松了，伤愈合，在孤独中孤独着，才懂安静的渴，当我卸下了颜色，璀璨了，还计算什么，爱何曾干涸。),1994,Shayfin,30263194
4,2015,6,3,好听 好听 在那个黄金时代 我基本没听过孙燕姿的歌 现在拿起来听 依然不过时,1959,年少者不经事,136258
5,2015,5,16,陪伴我高考的歌 谢谢你[可爱],1284,像老田一样努力啊,40642415
6,2015,12,19,我女朋友最喜欢的歌手是孙燕姿，每次她一生气，我就听孙燕姿的歌，试图找灵感…,1202,今生今世QGH,108805961
7,2015,2,15,孙燕姿的逆光专辑下架了[撇嘴][撇嘴][撇嘴][撇嘴][怒]飘着听不了[怒][怒][怒][怒][怒][怒][怒][怒],869,一顿乱炒,7839635
8,2015,2,15,这专最喜欢这首，当燕姿唱着属于自己的幸福时已经让我很难感同身受了，只有祝福，谢谢你带给我的最初的悸动，还是会听着终于和相信惶恐的等着属于自己的那个人,704,什么时候才能自由呢,51159011
9,2015,8,31,繁华声中自有宁静之处，狂欢中也有人独自忍受着孤独,650,做马思唯的猫,18528091
10,2014,12,12,唉，逆光是小学的时候…我还真是老了,612,囧尼克精神病快好了,36563047
11,2017,7,16,拼命对一个人好，生怕做错一点对方就不喜欢你，这不是爱，而是取悦。分手后觉得更爱对方，没他就活不下去，这不是爱情是不甘心。你拼命工作努力做人，生怕别人会看不起你，这不是要强，而是恐惧。许多人被情绪控制，只敢抓住而不敢放弃。但什么都不敢放弃，你活得多累。 ​​​​卸下了，就璀璨了。,583,蘇西是小肥羊呀,292634972
12,2016,1,19,最幸福的事就是收藏到了燕姿所有的专辑，CD，包括VCD版本MV，DVD版本MV，及孙燕姿出版过的各类演唱会VCD，演唱会DVD，孙燕姿纽西兰记实录，2003年18岁开始听燕姿，今年我31岁了[可爱],521,诗遇上歌__,34575941
13,2014,10,21,最近习惯带上耳机开大声的听这首歌。,494,Summer樱祭,10314366
14,2016,11,23,这种只专心做音乐，从来不炒绯闻，只用作品说话的歌手，值得一辈子去爱！,489,梅宝Mabe1,62291787
15,2016,9,20,我不追星，我爱孙燕姿，很爱很爱很爱，爱了很多年💙,454,彤啊彤的凝视,59627916
