index,year,month,day,content,likecount,nickname,user_id
1,2017,11,9,我给室友说我买了孙燕姿的新专辑，他们说燕姿的歌不好听，所以我打算换一群室友！,3286,火星人无心看风景,507841185
2,2017,11,9,听了前两首抒情感觉有些失望，谁知到了后面却是越来越惊喜，作为一个路人表示这张数字专辑真的买对了，很久没听过整张都这么好听的专辑了，华语乐坛应该由这些人支撑起来，而不是整天在微博买热门的流量明星(*￣3￣)╭♡,1537,凉风的凉风,315245802
3,2017,11,9,我给爸妈分享了燕姿的这首歌，他们说燕姿的这首歌不好听，所以我打算换一个……，算了，你们聊，我听下首歌去了！,1204,傻羊不吃草,434280244
4,2017,11,9,“我发现人会隐形多好”和“多想化成隐形的人”这么多年过去了，姿妈还是想变成隐形人啊[大哭][大哭][大哭],943,保罗韦斯利,124304842
5,2017,11,11,我男朋友把我换了，于是我来听孙燕姿了。,855,艾肆,103909796
6,2017,11,10,我给女朋友放了燕姿的新歌，她不说话，所以我打算换一个充气娃娃！,850,如也乄,113325116
7,2017,11,14,我家狗听了孙燕姿的歌不叫，我打算换条狗,645,来把党交给hyc,543363513
8,2017,11,29,这辈子买的第一张专辑，有没有人跟我一样的[奸笑],593,APeng放狼的阿鑫,105385770
9,2017,11,11,每一首听的时候都觉得是最好听的。。。听风衣的时候是风衣，听极美的时候变极美，听超人类变超人类。。。。听漂浮群岛又变了！！！天呐！每一首都这么好听啊！！！根本没有最好听，只有更好听！！！！我要为我燕姿疯狂打call！！！！,430,等待下雨的兔几,405563542
10,2017,11,23,这三个走啊。。硬生生的阻止了我，让我无法在KTV唱这首歌,355,黑猪国王,129954065
11,2017,11,18,我给学妹听了第一首，她秒回了好听，我更喜欢她了_(:з」∠)_,343,不要再停留此处,128729973
12,2017,11,28,儿子听不进去这个歌，所以我打算……算了，自己生的，自己生的。,290,我一进门就看到常威在打来福,502645536
13,2018,1,11,我是一名班主任，有一次课间听到一个同学说孙燕姿新歌好听，我打算把她换到第一排,248,结菜,57780277
14,2018,1,7,学校广播放燕姿的歌，有同学说不好听，我觉得这样的学生就应该开除。,204,-m3m,370616079
15,2017,11,21,十首歌，每首歌编曲都很用心，唱法上更是变化多样，每首歌都有一种属于自己的态度，品格。这真的是很难得！一张兼顾流行又具艺术探索的完整性专辑！为17年仍不忘初心，始终保持对音乐敬仰的孙燕姿点赞[强],102,xf帆,91895203
