index,year,month,day,content,likecount,nickname,user_id
1,2014,12,30,燕姿冷门歌曲好听之一,3909,Aragaki君,883074
2,2014,10,3,带耳机听前奏有种小时候剃头推子推过后脑勺的感觉，[惊恐]爽~,2078,冰山之鹰,16658686
3,2015,6,16,漩涡+飘着，逆光最爱的两首,1715,qXz7x,45689724
4,2015,8,8,漩涡大概只有燕姿唱才好听 同类也是,1489,时令水果记,72208944
5,2016,10,6,外表坚强独立的女孩好像总喜欢封闭自己的情感，与爱隔离保护自己，习惯把爱放在心里，倔强着伪装压抑，从不敢表达究竟有多爱对方，而把美好的爱情和喜欢的人错过了。之前听不懂这首歌，歌词太真切，后来听懂了，明白了，自己原来就是这样的人。自己一直在漩涡中，早已追悔莫及。,1086,西贝王月,274828683
6,2015,12,16,把今天《漩涡》底下评论都点了赞。别问我为什么。看到这么多人被歌单推荐过来听了很喜欢，我高兴！,963,熊小young,63286584
7,2014,8,30,这把声音真是让人喜欢[色],735,帐号已注销,263122
8,2015,8,30,第一次听是因为杜先生高考志愿没填好要去湖南了 他微博说自己去便利店路边正在放着这首歌 他听到了那句人生第一次面对什么叫落寞 感觉很应景 那天晚上我便一直循环播放漩涡 过一年后高考并不如意的我听到也是感慨万千,683,主要成分,33848219
9,2015,10,30,一辈子的姿迷！,601,谬音小陟,51741970
10,2016,8,8,孙燕姿好像就没有不好听的歌，全是精品。,573,洗刷刷洗刷刷呜呜,310022652
11,2014,4,27,好像又到了用这首歌表达心情的时候了。,461,肖冲动,133108
12,2014,11,13,大锤和孔连顺的爱情故事,399,唱唱歌唠唠嗑,33177698
13,2016,6,10,微博上看到孙燕姿十六周年，我决定来这首歌下面留言。讲真，她的声音，蕴藏的力量，不是用劲就有的。,336,Kang-Master,128569876
14,2016,11,20,可怜的《漩涡》，《飘着》不要你了[大哭][大哭][大哭],284,漂浮群岛走吧,121974190
15,2016,2,24,十几年啦。终究还是这样了，不蹲在角落，不隔岸观火，想努力走出的漩涡～,247,背了个影,26852587
