index,year,month,day,content,likecount,nickname,user_id
1,2015,9,9,最骄傲的事情就是会燕姿所有歌,798,娟姐就是爱音乐,30873984
2,2016,1,19,我最幸福的事就是收藏到了燕姿所有的专辑，CD，包括VCD版本MV，DVD版本MV，及孙燕姿出版过的各类演唱会VCD，演唱会DVD，孙燕姿纽西兰记实录，2003年18岁开始听燕姿，今年我31岁了[可爱],377,诗遇上歌__,34575941
3,2015,6,27,这么好的歌曲居然知道的人这么少,344,不只是逆光,68467295
4,2015,9,7,词、曲、编曲、演唱都堪称经典，不火可惜了,184,你好妹子,32816051
5,2015,12,28,前奏抓耳，词曲唱腔都恰如其分，唱述着成长的挣扎感悟。这个时期的燕姿，大概是很多人回忆里，那个最对的燕姿。稚嫩却坚强的短发女生，宛若青春的花漾。,163,JeffreyZhiw,53076412
6,2015,6,12,当时和Stefanie都认为爱情字典里找不到“永远”，但过了这么些年，我们都变了，都坚信并默默守护着。爱你，Stef.,118,逆光旅店,18840738
7,2015,6,22,都过不了那条线,75,Stefanie__sun,41549275
8,2016,1,19,我的天，竟然这么少评论,54,栗原原,120677620
9,2018,2,24,这个世界上最痛苦的离别方式是，从你们分开的那一刻开始，你没有办法再次走进她的生活，她却仍在你的生活中无处不在。,45,青梅酒肆,260880796
10,2019,1,10,13岁开始喜欢燕姿，今年我32了。,43,清晨我想喝杯凉凉的水,396826022
