index,year,month,day,content,likecount,nickname,user_id
1,2015,3,6,小学六年级听的歌 当时真不明白歌词的含义 只觉得旋律很好听 现在快30了 和男友异地恋五年 终于明白这个歌词的含义 真爱要勇敢 尽管还有漫长的路，但是只要用多一点的辛苦多一些忍耐，学会理解学会付出，爱情一定会有圆满的结果！[爱心],825,GGillian,1004713
2,2015,10,24,从小学听到奔三  还是单身狗,756,叔叔爱大俗曲,2934711
3,2015,2,12,她当年结婚时我想，她拿到了自己的证书，上个月我结婚了，我也拿到了自己的证书，现在听着这歌，我想证书是什么？或许当我们对青春不再感到迷茫、不再敏感、不再奋不顾身这时这时应该拿到证书了吧。,359,菊花已非花,52875031
4,2015,3,28,这首歌太经典了，燕姿的唱腔，歌曲的韵调，搭配的堪称完美，这么多年了还是原来的配方，还是原来的味道……[流泪],273,一个有着80后情愫的90后,47638914
5,2015,6,20,异国恋的专属曲目,215,怎么办我麋鹿啦,52447634
6,2015,6,20,异地恋的专属歌曲,190,叫我驴子就好,40670379
7,2015,1,8,初中又段时间最爱的歌，我觉得孙燕姿的歌没有最好听的只有最符合你心境最打动你的 每首歌都有段属于我的记忆和时光,137,你的摆摆姐姐,47561951
8,2017,1,30,2000年，上初一，第一次在音乐不断听到一个短发的女生唱的这首歌，还记得mv她穿的干干净净的，一晃，17年过去了，我仍旧为爱还在学着，学沟通，学谅解，学着不流泪。,113,花鸟风月泰勒猫,89667595
9,2015,6,15,经典之作，青岛站听燕姿徐徐道来，忍了好久还是鼻子酸了，感性动物，等我们学会忍耐和付出，这爱情一定会有证书…,104,我们不如这样,19450805
10,2015,6,20,学着沟通 学谅解 学着不流泪 一切为了在一起[强],100,麻瓜麻瓜嘿嘿嘿,54917616
11,2019,4,15,结婚三年啦哈哈,35,GGillian,1004713
